Date,IncidenceOfAsthma,PrevalenceOfAsthma
2015-10-16,2,18
2015-10-17,0,0
2015-10-18,0,0
2015-10-19,2,27
2015-10-20,3,21
2015-10-21,4,13
2015-10-22,3,16
2015-10-23,1,16
2015-10-24,0,2
2015-10-25,0,0
2015-10-26,3,24
2015-10-27,6,22
2015-10-28,2,16
2015-10-29,3,20
2015-10-30,4,25
2015-10-31,0,0
2015-11-01,0,1
2015-11-02,2,15
2015-11-03,4,19
2015-11-04,1,18
2015-11-05,3,21
2015-11-06,5,22
2015-11-07,0,2
2015-11-08,0,2
2015-11-09,4,17
2015-11-10,7,26
2015-11-11,4,18
2015-11-12,1,17
2015-11-13,3,19
2015-11-14,0,0
2015-11-15,0,1
2015-11-16,3,20
2015-11-17,7,22
2015-11-18,2,20
2015-11-19,2,17
2015-11-20,4,8
2015-11-21,0,2
2015-11-22,0,0
2015-11-23,4,29
2015-11-24,3,22
2015-11-25,1,22
2015-11-26,2,17
2015-11-27,1,14
2015-11-28,0,1
2015-11-29,1,1
2015-11-30,4,17
2015-12-01,6,21
2015-12-02,5,16
2015-12-03,0,18
2015-12-04,3,23
2015-12-05,0,2
2015-12-06,0,1
2015-12-07,4,23
2015-12-08,4,32
2015-12-09,3,23
2015-12-10,6,18
2015-12-11,2,20
2015-12-12,0,1
2015-12-13,2,2
2015-12-14,3,20
2015-12-15,7,26
2015-12-16,2,21
2015-12-17,3,37
2015-12-18,0,12
2015-12-19,1,2
2015-12-20,0,3
2015-12-21,1,30
2015-12-22,1,20
2015-12-23,1,10
2015-12-24,0,11
2015-12-25,0,0
2015-12-26,0,1
2015-12-27,0,0
2015-12-28,1,2
2015-12-29,3,24
2015-12-30,1,25
2015-12-31,0,11
2016-01-01,12,34
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,0,37
2016-01-05,4,26
2016-01-06,4,21
2016-01-07,5,27
2016-01-08,2,15
2016-01-09,0,2
2016-01-10,0,1
2016-01-11,1,25
2016-01-12,4,27
2016-01-13,3,20
2016-01-14,9,25
2016-01-15,2,16
2016-01-16,0,2
2016-01-17,0,2
2016-01-18,4,28
2016-01-19,4,24
2016-01-20,2,12
2016-01-21,1,26
2016-01-22,1,15
2016-01-23,0,1
2016-01-24,0,1
2016-01-25,5,30
2016-01-26,3,14
2016-01-27,3,15
2016-01-28,2,10
2016-01-29,3,22
2016-01-30,0,0
2016-01-31,0,0
2016-02-01,5,33
2016-02-02,5,27
2016-02-03,1,14
2016-02-04,5,21
2016-02-05,3,20
2016-02-06,0,2
2016-02-07,0,0
2016-02-08,2,32
2016-02-09,2,23
2016-02-10,0,16
2016-02-11,2,18
2016-02-12,1,10
2016-02-13,0,0
2016-02-14,0,1
2016-02-15,3,22
2016-02-16,3,20
2016-02-17,1,19
2016-02-18,2,9
2016-02-19,2,14
2016-02-20,0,2
2016-02-21,0,1
2016-02-22,4,31
2016-02-23,3,20
2016-02-24,3,22
2016-02-25,5,22
2016-02-26,3,11
2016-02-27,1,1
2016-02-28,2,3
2016-02-29,1,20
2016-03-01,3,16
2016-03-02,1,14
2016-03-03,2,17
2016-03-04,2,10
2016-03-05,0,0
2016-03-06,0,0
2016-03-07,1,30
2016-03-08,1,24
2016-03-09,2,16
2016-03-10,6,14
2016-03-11,4,24
2016-03-12,0,1
2016-03-13,0,1
2016-03-14,4,20
2016-03-15,3,23
2016-03-16,6,18
2016-03-17,5,16
2016-03-18,2,19
2016-03-19,0,2
2016-03-20,0,0
2016-03-21,3,23
2016-03-22,3,21
2016-03-23,3,19
2016-03-24,0,8
2016-03-25,0,1
2016-03-26,0,1
2016-03-27,0,0
2016-03-28,0,0
2016-03-29,1,19
2016-03-30,3,23
2016-03-31,1,19
2016-04-01,1,9
2016-04-02,0,1
2016-04-03,0,1
2016-04-04,1,24
2016-04-05,2,15
2016-04-06,4,14
2016-04-07,2,11
2016-04-08,2,12
2016-04-09,0,1
2016-04-10,0,0
2016-04-11,1,23
2016-04-12,1,18
2016-04-13,1,15
2016-04-14,5,19
2016-04-15,3,15
2016-04-16,0,0
2016-04-17,0,0
2016-04-18,4,27
2016-04-19,1,13
2016-04-20,1,11
2016-04-21,4,17
2016-04-22,3,10
2016-04-23,0,0
2016-04-24,0,0
2016-04-25,4,28
2016-04-26,2,15
2016-04-27,2,13
2016-04-28,3,12
2016-04-29,1,10
2016-04-30,0,1
2016-05-01,1,2
2016-05-02,0,0
2016-05-03,3,22
2016-05-04,0,17
2016-05-05,2,11
2016-05-06,5,17
2016-05-07,0,0
2016-05-08,0,0
2016-05-09,2,22
2016-05-10,4,24
2016-05-11,3,19
2016-05-12,7,29
2016-05-13,5,12
2016-05-14,0,0
2016-05-15,0,1
2016-05-16,3,20
2016-05-17,2,18
2016-05-18,0,15
2016-05-19,2,11
2016-05-20,5,20
2016-05-21,0,0
2016-05-22,0,0
2016-05-23,3,19
2016-05-24,4,25
2016-05-25,2,12
2016-05-26,6,19
2016-05-27,2,19
2016-05-28,0,1
2016-05-29,0,0
2016-05-30,0,0
2016-05-31,5,20
2016-06-01,4,16
2016-06-02,3,18
2016-06-03,3,11
2016-06-04,1,2
2016-06-05,0,0
2016-06-06,2,25
2016-06-07,0,12
2016-06-08,5,24
2016-06-09,1,11
2016-06-10,2,12
2016-06-11,0,0
2016-06-12,0,0
2016-06-13,1,20
2016-06-14,1,21
2016-06-15,1,6
2016-06-16,3,20
2016-06-17,3,14
2016-06-18,0,0
2016-06-19,0,0
2016-06-20,2,19
2016-06-21,5,21
2016-06-22,0,10
2016-06-23,2,11
2016-06-24,1,12
2016-06-25,2,3
2016-06-26,1,1
2016-06-27,1,15
2016-06-28,2,13
2016-06-29,5,17
2016-06-30,1,15
2016-07-01,4,21
2016-07-02,0,1
2016-07-03,0,0
2016-07-04,1,23
2016-07-05,5,26
2016-07-06,1,19
2016-07-07,0,18
2016-07-08,1,14
2016-07-09,0,0
2016-07-10,0,1
2016-07-11,2,18
2016-07-12,1,13
2016-07-13,3,20
2016-07-14,1,14
2016-07-15,3,11
2016-07-16,0,0
2016-07-17,0,2
2016-07-18,1,11
2016-07-19,1,18
2016-07-20,2,14
2016-07-21,4,21
2016-07-22,4,15
2016-07-23,0,3
2016-07-24,0,1
2016-07-25,6,33
2016-07-26,0,21
2016-07-27,2,15
2016-07-28,0,16
2016-07-29,7,24
2016-07-30,0,1
2016-07-31,0,0
2016-08-01,2,15
2016-08-02,1,22
2016-08-03,0,6
2016-08-04,3,15
2016-08-05,0,4
2016-08-06,0,1
2016-08-07,1,1
2016-08-08,2,21
2016-08-09,3,15
2016-08-10,4,16
2016-08-11,1,15
2016-08-12,1,15
2016-08-13,0,0
2016-08-14,0,0
2016-08-15,2,17
2016-08-16,6,14
2016-08-17,4,21
2016-08-18,3,12
2016-08-19,2,12
2016-08-20,0,0
2016-08-21,0,1
2016-08-22,2,11
2016-08-23,1,11
2016-08-24,1,14
2016-08-25,2,19
2016-08-26,0,12
2016-08-27,0,0
2016-08-28,0,0
2016-08-29,0,1
2016-08-30,1,18
2016-08-31,3,15
2016-09-01,3,14
2016-09-02,3,14
2016-09-03,0,0
2016-09-04,0,1
2016-09-05,4,14
2016-09-06,1,15
2016-09-07,0,9
2016-09-08,1,15
2016-09-09,4,11
2016-09-10,1,1
2016-09-11,0,0
2016-09-12,3,21
2016-09-13,1,22
2016-09-14,5,13
2016-09-15,3,18
2016-09-16,0,11
2016-09-17,0,0
2016-09-18,0,0
2016-09-19,6,24
2016-09-20,5,20
2016-09-21,2,10
2016-09-22,6,17
2016-09-23,0,12
2016-09-24,0,1
2016-09-25,0,1
2016-09-26,2,19
2016-09-27,3,26
2016-09-28,4,20
2016-09-29,2,30
2016-09-30,0,9
2016-10-01,1,1
2016-10-02,0,0
2016-10-03,3,28
2016-10-04,2,21
2016-10-05,9,32
2016-10-06,2,18
2016-10-07,1,11
2016-10-08,1,5
2016-10-09,0,1
2016-10-10,2,21
2016-10-11,1,13
2016-10-12,3,27
2016-10-13,3,11
2016-10-14,0,11
2016-10-15,1,4
2016-10-16,0,0
2016-10-17,1,32
2016-10-18,2,23
2016-10-19,5,25
2016-10-20,6,24
2016-10-21,2,19
2016-10-22,0,2
2016-10-23,0,1
2016-10-24,2,23
2016-10-25,2,28
2016-10-26,1,19
2016-10-27,3,14
2016-10-28,1,16
2016-10-29,0,1
2016-10-30,1,3
2016-10-31,4,33
2016-11-01,0,19
2016-11-02,4,29
2016-11-03,3,14
2016-11-04,3,13
2016-11-05,1,4
2016-11-06,1,1
2016-11-07,3,19
2016-11-08,4,20
2016-11-09,6,18
2016-11-10,0,19
2016-11-11,1,18
2016-11-12,1,2
2016-11-13,0,1
2016-11-14,2,30
2016-11-15,2,20
2016-11-16,3,22
2016-11-17,5,23
2016-11-18,1,21
2016-11-19,0,2
2016-11-20,0,1
2016-11-21,2,18
2016-11-22,2,23
2016-11-23,5,27
2016-11-24,3,24
2016-11-25,2,24
2016-11-26,0,0
2016-11-27,0,0
2016-11-28,2,33
2016-11-29,1,23
2016-11-30,3,24
2016-12-01,6,26
2016-12-02,3,16
2016-12-03,1,1
2016-12-04,0,0
2016-12-05,4,28
2016-12-06,5,27
2016-12-07,4,22
2016-12-08,2,22
2016-12-09,0,12
2016-12-10,0,0
2016-12-11,0,0
2016-12-12,7,30
2016-12-13,3,22
2016-12-14,3,17
2016-12-15,1,21
2016-12-16,1,18
2016-12-17,0,3
2016-12-18,0,0
2016-12-19,3,32
2016-12-20,4,29
2016-12-21,4,20
2016-12-22,4,29
2016-12-23,3,15
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,1
2016-12-27,0,0
2016-12-28,1,16
2016-12-29,2,25
2016-12-30,2,22
2016-12-31,1,1
2017-01-01,11,26
2017-01-02,0,0
2017-01-03,2,26
2017-01-04,2,28
2017-01-05,4,25
2017-01-06,5,24
2017-01-07,1,2
2017-01-08,0,0
2017-01-09,2,37
2017-01-10,2,25
2017-01-11,3,16
2017-01-12,3,23
2017-01-13,0,13
2017-01-14,1,1
2017-01-15,0,1
2017-01-16,1,30
2017-01-17,4,30
2017-01-18,2,25
2017-01-19,1,19
2017-01-20,2,15
2017-01-21,1,1
2017-01-22,0,0
2017-01-23,3,28
2017-01-24,2,29
2017-01-25,3,19
2017-01-26,0,20
2017-01-27,3,16
2017-01-28,0,1
2017-01-29,0,0
2017-01-30,3,25
2017-01-31,0,11
2017-02-01,5,19
2017-02-02,5,24
2017-02-03,5,19
2017-02-04,0,0
2017-02-05,0,2
2017-02-06,4,27
2017-02-07,3,36
2017-02-08,2,26
2017-02-09,1,16
2017-02-10,3,19
2017-02-11,0,1
2017-02-12,0,0
2017-02-13,3,24
2017-02-14,3,25
2017-02-15,1,11
2017-02-16,2,22
2017-02-17,2,18
2017-02-18,0,2
2017-02-19,0,0
2017-02-20,1,27
2017-02-21,2,24
2017-02-22,0,21
2017-02-23,1,12
2017-02-24,1,9
2017-02-25,0,2
2017-02-26,0,2
2017-02-27,3,25
2017-02-28,1,22
2017-03-01,4,17
2017-03-02,1,15
2017-03-03,1,11
2017-03-04,0,0
2017-03-05,0,1
2017-03-06,5,25
2017-03-07,6,31
2017-03-08,2,23
2017-03-09,4,20
2017-03-10,3,10
2017-03-11,1,1
2017-03-12,0,0
2017-03-13,2,19
2017-03-14,5,23
2017-03-15,4,23
2017-03-16,3,17
2017-03-17,5,18
2017-03-18,1,1
2017-03-19,0,0
2017-03-20,1,26
2017-03-21,6,20
2017-03-22,3,19
2017-03-23,1,16
2017-03-24,2,12
2017-03-25,2,4
2017-03-26,0,0
2017-03-27,1,17
2017-03-28,2,20
2017-03-29,4,24
2017-03-30,5,20
2017-03-31,2,14
2017-04-01,0,2
2017-04-02,0,0
2017-04-03,0,18
2017-04-04,0,20
2017-04-05,0,21
2017-04-06,2,22
2017-04-07,2,15
2017-04-08,0,0
2017-04-09,0,0
2017-04-10,2,17
2017-04-11,4,28
2017-04-12,2,17
2017-04-13,2,17
2017-04-14,0,1
2017-04-15,0,0
2017-04-16,0,0
2017-04-17,0,0
2017-04-18,3,25
2017-04-19,4,19
2017-04-20,7,20
2017-04-21,3,20
2017-04-22,0,1
2017-04-23,0,0
2017-04-24,5,19
2017-04-25,2,28
2017-04-26,2,15
2017-04-27,4,24
2017-04-28,4,11
2017-04-29,0,0
2017-04-30,0,1
2017-05-01,1,1
2017-05-02,6,25
2017-05-03,4,16
2017-05-04,3,21
2017-05-05,2,13
2017-05-06,0,0
2017-05-07,0,0
2017-05-08,1,19
2017-05-09,6,26
2017-05-10,6,23
2017-05-11,5,18
2017-05-12,1,11
2017-05-13,0,0
2017-05-14,0,0
2017-05-15,3,23
2017-05-16,3,20
2017-05-17,2,15
2017-05-18,4,21
2017-05-19,0,8
2017-05-20,0,1
2017-05-21,0,0
2017-05-22,1,23
2017-05-23,2,23
2017-05-24,2,15
2017-05-25,4,23
2017-05-26,2,17
2017-05-27,0,0
2017-05-28,0,0
2017-05-29,0,0
2017-05-30,2,20
2017-05-31,1,21
2017-06-01,2,17
2017-06-02,2,13
2017-06-03,1,1
2017-06-04,0,1
2017-06-05,3,17
2017-06-06,5,23
2017-06-07,1,23
2017-06-08,1,16
2017-06-09,2,12
2017-06-10,0,0
2017-06-11,0,0
2017-06-12,3,17
2017-06-13,1,13
2017-06-14,2,23
2017-06-15,3,14
2017-06-16,6,16
2017-06-17,0,1
2017-06-18,0,1
2017-06-19,2,24
2017-06-20,1,13
2017-06-21,3,15
2017-06-22,3,15
2017-06-23,4,15
2017-06-24,0,0
2017-06-25,1,1
2017-06-26,2,24
2017-06-27,2,14
2017-06-28,1,16
2017-06-29,2,17
2017-06-30,7,16
2017-07-01,2,2
2017-07-02,0,2
2017-07-03,2,21
2017-07-04,2,21
2017-07-05,1,10
2017-07-06,3,23
2017-07-07,4,16
2017-07-08,0,2
2017-07-09,0,0
2017-07-10,4,22
2017-07-11,2,12
2017-07-12,1,12
2017-07-13,2,16
2017-07-14,3,18
2017-07-15,0,0
2017-07-16,0,0
2017-07-17,0,29
2017-07-18,4,25
2017-07-19,1,10
2017-07-20,3,15
2017-07-21,2,11
2017-07-22,0,1
2017-07-23,0,1
2017-07-24,4,18
2017-07-25,3,20
2017-07-26,3,24
2017-07-27,1,15
2017-07-28,0,18
2017-07-29,0,1
2017-07-30,0,0
2017-07-31,4,29
2017-08-01,7,21
2017-08-02,1,9
2017-08-03,2,22
2017-08-04,1,12
2017-08-05,0,1
2017-08-06,0,1
2017-08-07,4,22
2017-08-08,3,24
2017-08-09,1,11
2017-08-10,1,12
2017-08-11,6,21
2017-08-12,0,0
2017-08-13,0,0
2017-08-14,2,17
2017-08-15,0,13
2017-08-16,1,10
2017-08-17,2,24
2017-08-18,2,14
2017-08-19,0,0
2017-08-20,1,1
2017-08-21,4,15
2017-08-22,1,22
2017-08-23,4,19
2017-08-24,1,17
2017-08-25,1,10
2017-08-26,0,1
2017-08-27,0,0
2017-08-28,0,0
2017-08-29,1,16
2017-08-30,7,24
2017-08-31,4,21
2017-09-01,2,12
2017-09-02,0,1
2017-09-03,0,0
2017-09-04,0,19
2017-09-05,3,20
2017-09-06,1,14
2017-09-07,3,17
2017-09-08,4,16
2017-09-09,0,1
2017-09-10,0,1
2017-09-11,3,22
2017-09-12,3,24
2017-09-13,3,18
2017-09-14,4,17
2017-09-15,4,23
2017-09-16,0,2
2017-09-17,2,4
2017-09-18,6,25
2017-09-19,4,24
2017-09-20,4,21
2017-09-21,5,22
2017-09-22,1,13
2017-09-23,0,0
2017-09-24,0,2
2017-09-25,3,33
2017-09-26,7,27
2017-09-27,3,16
2017-09-28,2,25
2017-09-29,3,18
2017-09-30,0,1
2017-10-01,0,1
2017-10-02,4,25
2017-10-03,4,28
2017-10-04,6,23
2017-10-05,2,27
2017-10-06,1,13
2017-10-07,0,0
2017-10-08,0,0
2017-10-09,5,34
2017-10-10,3,29
2017-10-11,4,14
2017-10-12,4,28
2017-10-13,1,12
2017-10-14,0,1
2017-10-15,0,1
2017-10-16,2,23
2017-10-17,6,29
2017-10-18,0,23
2017-10-19,1,25
2017-10-20,1,25
2017-10-21,0,0
2017-10-22,0,1
2017-10-23,4,33
2017-10-24,2,15
2017-10-25,4,18
2017-10-26,4,18
2017-10-27,1,15
2017-10-28,0,4
2017-10-29,1,1
2017-10-30,2,17
2017-10-31,4,21
2017-11-01,2,23
2017-11-02,2,23
2017-11-03,1,16
2017-11-04,0,0
2017-11-05,0,1
2017-11-06,5,24
2017-11-07,2,10
2017-11-08,6,28
2017-11-09,3,21
2017-11-10,3,16
2017-11-11,0,1
2017-11-12,1,1
2017-11-13,3,22
2017-11-14,4,27
2017-11-15,5,27
2017-11-16,1,23
2017-11-17,5,13
2017-11-18,0,1
2017-11-19,0,1
2017-11-20,2,28
2017-11-21,2,26
2017-11-22,1,27
2017-11-23,4,29
2017-11-24,6,19
2017-11-25,1,3
2017-11-26,0,3
2017-11-27,5,26
2017-11-28,2,32
2017-11-29,2,30
2017-11-30,1,28
2017-12-01,2,25
2017-12-02,0,1
2017-12-03,0,0
2017-12-04,5,32
2017-12-05,1,17
2017-12-06,3,15
2017-12-07,2,18
2017-12-08,0,16
2017-12-09,0,1
2017-12-10,0,0
2017-12-11,5,33
2017-12-12,3,17
2017-12-13,2,15
2017-12-14,4,28
2017-12-15,3,8
2017-12-16,0,2
2017-12-17,0,1
2017-12-18,5,21
2017-12-19,5,18
2017-12-20,3,27
2017-12-21,4,29
2017-12-22,3,22
2017-12-23,1,2
2017-12-24,0,0
2017-12-25,0,2
2017-12-26,0,0
2017-12-27,1,17
2017-12-28,1,29
2017-12-29,2,14
2017-12-30,0,1
2017-12-31,0,0
2018-01-01,3,7
2018-01-02,6,24
2018-01-03,2,21
2018-01-04,0,16
2018-01-05,3,21
2018-01-06,0,0
2018-01-07,0,1
2018-01-08,0,31
2018-01-09,3,25
2018-01-10,3,17
2018-01-11,2,17
2018-01-12,4,13
2018-01-13,0,0
2018-01-14,0,0
2018-01-15,4,31
2018-01-16,3,18
2018-01-17,2,17
2018-01-18,2,13
2018-01-19,3,19
2018-01-20,0,2
2018-01-21,0,0
2018-01-22,3,26
2018-01-23,6,23
2018-01-24,2,22
2018-01-25,2,10
2018-01-26,4,19
2018-01-27,1,1
2018-01-28,0,2
2018-01-29,3,25
2018-01-30,5,18
2018-01-31,2,16
2018-02-01,3,23
2018-02-02,1,17
2018-02-03,0,2
2018-02-04,0,1
2018-02-05,1,22
2018-02-06,3,23
2018-02-07,2,16
2018-02-08,7,26
2018-02-09,0,9
2018-02-10,0,0
2018-02-11,1,4
2018-02-12,4,30
2018-02-13,4,14
2018-02-14,3,19
2018-02-15,3,30
2018-02-16,4,10
2018-02-17,0,0
2018-02-18,0,0
2018-02-19,2,14
2018-02-20,2,16
2018-02-21,3,14
2018-02-22,3,15
2018-02-23,2,13
2018-02-24,1,1
2018-02-25,0,0
2018-02-26,1,15
2018-02-27,2,16
2018-02-28,1,26
2018-03-01,0,11
2018-03-02,3,9
2018-03-03,0,1
2018-03-04,2,3
2018-03-05,3,19
2018-03-06,5,14
2018-03-07,2,10
2018-03-08,4,16
2018-03-09,3,13
2018-03-10,0,0
2018-03-11,0,0
2018-03-12,5,31
2018-03-13,5,39
2018-03-14,1,14
2018-03-15,8,20
2018-03-16,2,18
2018-03-17,0,0
2018-03-18,0,0
2018-03-19,1,28
2018-03-20,5,18
2018-03-21,3,20
2018-03-22,3,15
2018-03-23,2,20
2018-03-24,0,0
2018-03-25,0,0
2018-03-26,4,60
2018-03-27,5,21
2018-03-28,4,18
2018-03-29,5,40
2018-03-30,0,0
2018-03-31,0,2
2018-04-01,0,2
2018-04-02,0,0
2018-04-03,3,20
2018-04-04,1,21
2018-04-05,3,26
2018-04-06,1,14
2018-04-07,0,2
2018-04-08,0,0
2018-04-09,3,18
2018-04-10,0,38
2018-04-11,1,10
2018-04-12,4,12
2018-04-13,3,22
2018-04-14,0,0
2018-04-15,0,0
2018-04-16,1,19
2018-04-17,2,12
2018-04-18,3,16
2018-04-19,2,16
2018-04-20,1,8
2018-04-21,0,0
2018-04-22,0,1
2018-04-23,2,12
2018-04-24,1,18
2018-04-25,5,17
2018-04-26,2,18
2018-04-27,4,15
2018-04-28,0,0
2018-04-29,0,0
2018-04-30,4,19
2018-05-01,4,29
2018-05-02,5,23
2018-05-03,3,12
2018-05-04,1,10
2018-05-05,0,0
2018-05-06,0,0
2018-05-07,0,1
2018-05-08,2,15
2018-05-09,4,16
2018-05-10,4,14
2018-05-11,1,15
2018-05-12,0,2
2018-05-13,1,1
2018-05-14,7,23
2018-05-15,1,29
2018-05-16,3,22
2018-05-17,2,12
2018-05-18,2,26
2018-05-19,0,0
2018-05-20,0,2
2018-05-21,4,21
2018-05-22,3,11
2018-05-23,2,68
2018-05-24,3,20
2018-05-25,0,6
2018-05-26,0,1
2018-05-27,0,0
2018-05-28,0,0
2018-05-29,6,16
2018-05-30,1,14
2018-05-31,3,27
2018-06-01,3,14
2018-06-02,1,1
2018-06-03,0,0
2018-06-04,2,23
2018-06-05,3,26
2018-06-06,1,14
2018-06-07,4,12
2018-06-08,4,14
2018-06-09,0,0
2018-06-10,0,0
2018-06-11,1,17
2018-06-12,6,22
2018-06-13,3,18
2018-06-14,2,111
2018-06-15,3,15
2018-06-16,0,1
2018-06-17,0,0
2018-06-18,7,21
2018-06-19,1,11
2018-06-20,5,11
