Date,IncidenceOfBenzodiaepines,PrevalenceOfBenzodiaepines
2015-10-15,4,91
2015-10-16,6,86
2015-10-17,0,3
2015-10-18,0,2
2015-10-19,6,111
2015-10-20,7,103
2015-10-21,4,84
2015-10-22,4,90
2015-10-23,7,76
2015-10-24,0,2
2015-10-25,0,1
2015-10-26,8,125
2015-10-27,8,105
2015-10-28,5,72
2015-10-29,5,98
2015-10-30,0,77
2015-10-31,0,1
2015-11-01,0,1
2015-11-02,4,121
2015-11-03,9,108
2015-11-04,5,68
2015-11-05,3,94
2015-11-06,3,87
2015-11-07,0,3
2015-11-08,0,1
2015-11-09,7,123
2015-11-10,4,90
2015-11-11,4,80
2015-11-12,9,105
2015-11-13,8,77
2015-11-14,0,2
2015-11-15,0,0
2015-11-16,6,117
2015-11-17,6,111
2015-11-18,6,92
2015-11-19,3,83
2015-11-20,7,84
2015-11-21,0,3
2015-11-22,0,0
2015-11-23,7,138
2015-11-24,4,96
2015-11-25,7,88
2015-11-26,3,88
2015-11-27,3,89
2015-11-28,0,1
2015-11-29,0,1
2015-11-30,4,126
2015-12-01,5,107
2015-12-02,4,77
2015-12-03,6,88
2015-12-04,7,90
2015-12-05,0,2
2015-12-06,0,0
2015-12-07,3,129
2015-12-08,6,127
2015-12-09,6,82
2015-12-10,7,100
2015-12-11,4,89
2015-12-12,0,1
2015-12-13,0,0
2015-12-14,6,138
2015-12-15,2,125
2015-12-16,5,90
2015-12-17,3,95
2015-12-18,3,91
2015-12-19,0,2
2015-12-20,0,1
2015-12-21,6,181
2015-12-22,8,109
2015-12-23,3,88
2015-12-24,4,87
2015-12-25,0,24
2015-12-26,0,0
2015-12-27,0,0
2015-12-28,0,44
2015-12-29,5,91
2015-12-30,2,88
2015-12-31,0,100
2016-01-01,0,22
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,10,141
2016-01-05,3,114
2016-01-06,9,110
2016-01-07,5,108
2016-01-08,7,80
2016-01-09,0,0
2016-01-10,0,0
2016-01-11,6,130
2016-01-12,4,119
2016-01-13,2,84
2016-01-14,6,104
2016-01-15,1,74
2016-01-16,0,1
2016-01-17,0,0
2016-01-18,5,122
2016-01-19,4,108
2016-01-20,6,96
2016-01-21,3,99
2016-01-22,3,74
2016-01-23,1,2
2016-01-24,0,0
2016-01-25,5,106
2016-01-26,6,107
2016-01-27,3,71
2016-01-28,7,90
2016-01-29,3,80
2016-01-30,0,0
2016-01-31,0,0
2016-02-01,2,115
2016-02-02,7,118
2016-02-03,3,71
2016-02-04,2,78
2016-02-05,2,72
2016-02-06,0,0
2016-02-07,0,0
2016-02-08,3,107
2016-02-09,5,125
2016-02-10,6,70
2016-02-11,6,86
2016-02-12,1,78
2016-02-13,0,1
2016-02-14,0,0
2016-02-15,5,110
2016-02-16,6,105
2016-02-17,1,79
2016-02-18,3,84
2016-02-19,4,72
2016-02-20,0,1
2016-02-21,0,0
2016-02-22,5,108
2016-02-23,2,99
2016-02-24,7,86
2016-02-25,4,81
2016-02-26,7,72
2016-02-27,0,1
2016-02-28,0,0
2016-02-29,8,120
2016-03-01,5,127
2016-03-02,3,81
2016-03-03,8,89
2016-03-04,7,80
2016-03-05,0,0
2016-03-06,0,0
2016-03-07,7,128
2016-03-08,1,98
2016-03-09,4,78
2016-03-10,6,93
2016-03-11,4,78
2016-03-12,0,0
2016-03-13,0,0
2016-03-14,1,127
2016-03-15,4,102
2016-03-16,5,80
2016-03-17,4,88
2016-03-18,3,74
2016-03-19,0,2
2016-03-20,0,1
2016-03-21,4,126
2016-03-22,5,106
2016-03-23,6,101
2016-03-24,6,108
2016-03-25,0,12
2016-03-26,0,1
2016-03-27,0,0
2016-03-28,0,52
2016-03-29,8,140
2016-03-30,11,107
2016-03-31,3,87
2016-04-01,5,70
2016-04-02,0,1
2016-04-03,0,0
2016-04-04,4,126
2016-04-05,1,109
2016-04-06,5,103
2016-04-07,6,95
2016-04-08,3,58
2016-04-09,0,1
2016-04-10,0,1
2016-04-11,9,115
2016-04-12,3,108
2016-04-13,3,83
2016-04-14,5,97
2016-04-15,4,82
2016-04-16,1,2
2016-04-17,0,1
2016-04-18,5,126
2016-04-19,8,104
2016-04-20,6,86
2016-04-21,3,81
2016-04-22,3,68
2016-04-23,0,0
2016-04-24,0,0
2016-04-25,1,129
2016-04-26,7,104
2016-04-27,5,82
2016-04-28,3,84
2016-04-29,11,99
2016-04-30,1,2
2016-05-01,0,1
2016-05-02,0,45
2016-05-03,17,135
2016-05-04,4,90
2016-05-05,7,108
2016-05-06,5,73
2016-05-07,0,2
2016-05-08,0,1
2016-05-09,8,123
2016-05-10,3,117
2016-05-11,5,85
2016-05-12,6,91
2016-05-13,5,81
2016-05-14,0,1
2016-05-15,0,0
2016-05-16,9,116
2016-05-17,4,97
2016-05-18,4,90
2016-05-19,5,103
2016-05-20,6,86
2016-05-21,0,2
2016-05-22,0,0
2016-05-23,4,117
2016-05-24,9,121
2016-05-25,3,73
2016-05-26,3,95
2016-05-27,3,81
2016-05-28,0,0
2016-05-29,0,1
2016-05-30,0,41
2016-05-31,0,118
2016-06-01,7,94
2016-06-02,5,92
2016-06-03,7,102
2016-06-04,0,0
2016-06-05,0,0
2016-06-06,3,118
2016-06-07,0,102
2016-06-08,5,92
2016-06-09,9,78
2016-06-10,3,71
2016-06-11,0,2
2016-06-12,0,0
2016-06-13,3,106
2016-06-14,6,115
2016-06-15,9,91
2016-06-16,5,90
2016-06-17,6,75
2016-06-18,1,1
2016-06-19,0,0
2016-06-20,13,134
2016-06-21,4,117
2016-06-22,4,75
2016-06-23,9,97
2016-06-24,9,74
2016-06-25,0,1
2016-06-26,0,0
2016-06-27,8,137
2016-06-28,3,93
2016-06-29,7,95
2016-06-30,6,96
2016-07-01,5,88
2016-07-02,0,1
2016-07-03,0,1
2016-07-04,7,145
2016-07-05,5,101
2016-07-06,3,75
2016-07-07,2,104
2016-07-08,2,79
2016-07-09,0,1
2016-07-10,0,1
2016-07-11,7,107
2016-07-12,4,105
2016-07-13,10,79
2016-07-14,5,85
2016-07-15,9,101
2016-07-16,0,1
2016-07-17,0,1
2016-07-18,5,115
2016-07-19,4,92
2016-07-20,6,87
2016-07-21,7,102
2016-07-22,4,77
2016-07-23,0,1
2016-07-24,0,1
2016-07-25,4,105
2016-07-26,6,102
2016-07-27,7,95
2016-07-28,6,91
2016-07-29,5,105
2016-07-30,0,1
2016-07-31,0,1
2016-08-01,9,131
2016-08-02,4,96
2016-08-03,9,80
2016-08-04,6,97
2016-08-05,6,95
2016-08-06,0,2
2016-08-07,1,2
2016-08-08,4,118
2016-08-09,4,98
2016-08-10,3,70
2016-08-11,3,97
2016-08-12,6,98
2016-08-13,0,2
2016-08-14,0,1
2016-08-15,1,120
2016-08-16,2,93
2016-08-17,4,90
2016-08-18,5,87
2016-08-19,2,90
2016-08-20,0,2
2016-08-21,0,3
2016-08-22,5,125
2016-08-23,4,105
2016-08-24,7,92
2016-08-25,5,81
2016-08-26,2,98
2016-08-27,0,1
2016-08-28,0,2
2016-08-29,0,47
2016-08-30,3,120
2016-08-31,6,99
2016-09-01,5,102
2016-09-02,6,111
2016-09-03,0,2
2016-09-04,0,2
2016-09-05,10,116
2016-09-06,4,97
2016-09-07,5,81
2016-09-08,2,73
2016-09-09,6,90
2016-09-10,0,1
2016-09-11,0,1
2016-09-12,6,114
2016-09-13,6,111
2016-09-14,4,86
2016-09-15,2,89
2016-09-16,4,87
2016-09-17,0,2
2016-09-18,0,1
2016-09-19,6,130
2016-09-20,4,92
2016-09-21,3,96
2016-09-22,5,72
2016-09-23,2,88
2016-09-24,0,4
2016-09-25,0,1
2016-09-26,10,129
2016-09-27,8,100
2016-09-28,4,81
2016-09-29,4,94
2016-09-30,8,89
2016-10-01,0,2
2016-10-02,0,1
2016-10-03,5,113
2016-10-04,6,110
2016-10-05,5,81
2016-10-06,9,90
2016-10-07,3,94
2016-10-08,0,2
2016-10-09,0,1
2016-10-10,8,131
2016-10-11,5,113
2016-10-12,7,92
2016-10-13,8,80
2016-10-14,2,87
2016-10-15,0,1
2016-10-16,0,2
2016-10-17,7,122
2016-10-18,1,108
2016-10-19,7,106
2016-10-20,7,90
2016-10-21,4,87
2016-10-22,0,1
2016-10-23,0,1
2016-10-24,5,120
2016-10-25,5,89
2016-10-26,7,83
2016-10-27,6,90
2016-10-28,5,90
2016-10-29,0,3
2016-10-30,0,1
2016-10-31,7,125
2016-11-01,6,116
2016-11-02,5,94
2016-11-03,7,94
2016-11-04,8,84
2016-11-05,0,4
2016-11-06,0,1
2016-11-07,4,112
2016-11-08,1,110
2016-11-09,1,73
2016-11-10,3,104
2016-11-11,1,78
2016-11-12,0,4
2016-11-13,1,2
2016-11-14,4,114
2016-11-15,2,111
2016-11-16,4,91
2016-11-17,8,101
2016-11-18,9,101
2016-11-19,0,4
2016-11-20,0,2
2016-11-21,4,105
2016-11-22,7,98
2016-11-23,5,94
2016-11-24,5,90
2016-11-25,4,86
2016-11-26,0,3
2016-11-27,0,2
2016-11-28,8,117
2016-11-29,3,104
2016-11-30,4,91
2016-12-01,5,103
2016-12-02,7,100
2016-12-03,0,6
2016-12-04,0,10
2016-12-05,5,127
2016-12-06,4,108
2016-12-07,2,103
2016-12-08,8,102
2016-12-09,3,99
2016-12-10,0,5
2016-12-11,0,5
2016-12-12,7,131
2016-12-13,5,106
2016-12-14,6,120
2016-12-15,4,98
2016-12-16,6,115
2016-12-17,0,5
2016-12-18,0,4
2016-12-19,8,144
2016-12-20,1,111
2016-12-21,4,99
2016-12-22,2,91
2016-12-23,4,83
2016-12-24,0,2
2016-12-25,0,2
2016-12-26,0,41
2016-12-27,0,27
2016-12-28,5,106
2016-12-29,6,100
2016-12-30,6,75
2016-12-31,0,4
2017-01-01,0,2
2017-01-02,0,36
2017-01-03,4,116
2017-01-04,7,114
2017-01-05,7,124
2017-01-06,7,87
2017-01-07,0,4
2017-01-08,0,3
2017-01-09,12,111
2017-01-10,2,106
2017-01-11,4,104
2017-01-12,8,116
2017-01-13,6,89
2017-01-14,0,4
2017-01-15,0,1
2017-01-16,2,102
2017-01-17,7,99
2017-01-18,3,108
2017-01-19,3,89
2017-01-20,6,84
2017-01-21,0,4
2017-01-22,0,0
2017-01-23,6,113
2017-01-24,3,96
2017-01-25,2,87
2017-01-26,3,93
2017-01-27,5,84
2017-01-28,0,5
2017-01-29,0,2
2017-01-30,4,112
2017-01-31,7,108
2017-02-01,5,104
2017-02-02,4,87
2017-02-03,3,83
2017-02-04,0,3
2017-02-05,0,1
2017-02-06,4,108
2017-02-07,4,93
2017-02-08,2,102
2017-02-09,5,101
2017-02-10,6,93
2017-02-11,0,5
2017-02-12,0,2
2017-02-13,8,108
2017-02-14,5,102
2017-02-15,6,94
2017-02-16,5,89
2017-02-17,9,86
2017-02-18,0,6
2017-02-19,0,1
2017-02-20,5,93
2017-02-21,3,117
2017-02-22,1,86
2017-02-23,6,96
2017-02-24,4,87
2017-02-25,0,3
2017-02-26,0,2
2017-02-27,8,115
2017-02-28,5,114
2017-03-01,5,92
2017-03-02,2,98
2017-03-03,7,94
2017-03-04,0,3
2017-03-05,0,1
2017-03-06,10,130
2017-03-07,3,108
2017-03-08,6,83
2017-03-09,5,108
2017-03-10,5,83
2017-03-11,0,6
2017-03-12,0,2
2017-03-13,6,106
2017-03-14,4,110
2017-03-15,3,73
2017-03-16,5,95
2017-03-17,8,87
2017-03-18,0,5
2017-03-19,0,2
2017-03-20,8,135
2017-03-21,7,87
2017-03-22,5,81
2017-03-23,6,105
2017-03-24,6,86
2017-03-25,0,5
2017-03-26,0,2
2017-03-27,5,123
2017-03-28,2,101
2017-03-29,1,91
2017-03-30,6,96
2017-03-31,2,78
2017-04-01,0,5
2017-04-02,0,1
2017-04-03,6,135
2017-04-04,8,111
2017-04-05,6,95
2017-04-06,4,94
2017-04-07,5,91
2017-04-08,0,7
2017-04-09,0,2
2017-04-10,6,133
2017-04-11,3,96
2017-04-12,4,95
2017-04-13,7,121
2017-04-14,0,20
2017-04-15,0,4
2017-04-16,0,1
2017-04-17,0,39
2017-04-18,5,129
2017-04-19,4,99
2017-04-20,6,98
2017-04-21,3,80
2017-04-22,0,1
2017-04-23,0,1
2017-04-24,4,139
2017-04-25,3,103
2017-04-26,5,91
2017-04-27,2,124
2017-04-28,4,102
2017-04-29,0,4
2017-04-30,0,1
2017-05-01,0,37
2017-05-02,5,113
2017-05-03,8,106
2017-05-04,3,119
2017-05-05,3,98
2017-05-06,1,3
2017-05-07,0,3
2017-05-08,8,118
2017-05-09,8,104
2017-05-10,5,100
2017-05-11,5,96
2017-05-12,7,80
2017-05-13,0,2
2017-05-14,0,2
2017-05-15,2,107
2017-05-16,3,97
2017-05-17,7,108
2017-05-18,1,94
2017-05-19,2,78
2017-05-20,0,4
2017-05-21,0,1
2017-05-22,4,129
2017-05-23,10,118
2017-05-24,0,111
2017-05-25,9,102
2017-05-26,6,98
2017-05-27,0,1
2017-05-28,0,1
2017-05-29,0,43
2017-05-30,2,123
2017-05-31,2,112
2017-06-01,2,109
2017-06-02,5,79
2017-06-03,1,2
2017-06-04,1,2
2017-06-05,4,106
2017-06-06,8,115
2017-06-07,5,102
2017-06-08,8,105
2017-06-09,4,82
2017-06-10,0,2
2017-06-11,0,1
2017-06-12,6,89
2017-06-13,2,98
2017-06-14,4,88
2017-06-15,2,89
2017-06-16,6,98
2017-06-17,0,1
2017-06-18,0,1
2017-06-19,0,98
2017-06-20,6,109
2017-06-21,3,88
2017-06-22,2,97
2017-06-23,4,86
2017-06-24,0,0
2017-06-25,0,0
2017-06-26,9,109
2017-06-27,1,103
2017-06-28,5,100
2017-06-29,6,96
2017-06-30,5,86
2017-07-01,0,1
2017-07-02,0,1
2017-07-03,3,111
2017-07-04,7,100
2017-07-05,4,82
2017-07-06,4,102
2017-07-07,6,88
2017-07-08,0,1
2017-07-09,0,1
2017-07-10,9,116
2017-07-11,6,106
2017-07-12,4,97
2017-07-13,4,94
2017-07-14,7,87
2017-07-15,1,2
2017-07-16,0,1
2017-07-17,9,119
2017-07-18,9,119
2017-07-19,3,90
2017-07-20,4,99
2017-07-21,3,79
2017-07-22,0,2
2017-07-23,0,1
2017-07-24,8,142
2017-07-25,4,95
2017-07-26,10,95
2017-07-27,4,99
2017-07-28,6,90
2017-07-29,0,2
2017-07-30,0,1
2017-07-31,4,118
2017-08-01,4,99
2017-08-02,4,91
2017-08-03,9,97
2017-08-04,4,79
2017-08-05,0,2
2017-08-06,0,1
2017-08-07,3,133
2017-08-08,3,105
2017-08-09,4,91
2017-08-10,6,92
2017-08-11,2,82
2017-08-12,0,2
2017-08-13,0,1
2017-08-14,3,135
2017-08-15,5,103
2017-08-16,2,86
2017-08-17,3,98
2017-08-18,3,97
2017-08-19,0,1
2017-08-20,0,1
2017-08-21,1,116
2017-08-22,4,96
2017-08-23,7,93
2017-08-24,6,103
2017-08-25,2,93
2017-08-26,0,2
2017-08-27,0,0
2017-08-28,0,51
2017-08-29,3,122
2017-08-30,1,98
2017-08-31,3,92
2017-09-01,4,88
2017-09-02,0,1
2017-09-03,0,0
2017-09-04,4,113
2017-09-05,9,116
2017-09-06,5,105
2017-09-07,7,110
2017-09-08,7,89
2017-09-09,0,1
2017-09-10,0,1
2017-09-11,7,100
2017-09-12,3,118
2017-09-13,5,95
2017-09-14,5,108
2017-09-15,5,83
2017-09-16,1,2
2017-09-17,0,1
2017-09-18,2,110
2017-09-19,7,99
2017-09-20,3,100
2017-09-21,4,100
2017-09-22,2,92
2017-09-23,2,4
2017-09-24,0,1
2017-09-25,5,109
2017-09-26,4,116
2017-09-27,4,109
2017-09-28,4,99
2017-09-29,8,86
2017-09-30,0,0
2017-10-01,0,0
2017-10-02,5,119
2017-10-03,3,91
2017-10-04,2,103
2017-10-05,4,94
2017-10-06,3,85
2017-10-07,0,1
2017-10-08,0,0
2017-10-09,8,122
2017-10-10,7,112
2017-10-11,2,92
2017-10-12,6,106
2017-10-13,9,88
2017-10-14,0,1
2017-10-15,0,0
2017-10-16,5,106
2017-10-17,6,110
2017-10-18,5,101
2017-10-19,3,83
2017-10-20,6,99
2017-10-21,0,1
2017-10-22,0,0
2017-10-23,8,95
2017-10-24,7,116
2017-10-25,6,91
2017-10-26,9,84
2017-10-27,4,85
2017-10-28,0,1
2017-10-29,0,0
2017-10-30,6,94
2017-10-31,1,121
2017-11-01,4,84
2017-11-02,7,82
2017-11-03,8,90
2017-11-04,0,1
2017-11-05,0,0
2017-11-06,2,105
2017-11-07,2,108
2017-11-08,2,92
2017-11-09,6,111
2017-11-10,3,99
2017-11-11,1,2
2017-11-12,1,1
2017-11-13,8,132
2017-11-14,3,96
2017-11-15,5,98
2017-11-16,3,98
2017-11-17,8,94
2017-11-18,0,1
2017-11-19,0,1
2017-11-20,8,118
2017-11-21,2,100
2017-11-22,1,102
2017-11-23,5,92
2017-11-24,7,88
2017-11-25,1,4
2017-11-26,0,1
2017-11-27,1,114
2017-11-28,9,104
2017-11-29,0,83
2017-11-30,4,98
2017-12-01,7,74
2017-12-02,0,1
2017-12-03,0,1
2017-12-04,2,132
2017-12-05,6,104
2017-12-06,5,105
2017-12-07,4,94
2017-12-08,8,106
2017-12-09,0,2
2017-12-10,0,4
2017-12-11,5,141
2017-12-12,3,99
2017-12-13,1,97
2017-12-14,4,117
2017-12-15,7,92
2017-12-16,0,3
2017-12-17,0,5
2017-12-18,5,136
2017-12-19,5,103
2017-12-20,4,121
2017-12-21,2,108
2017-12-22,1,84
2017-12-23,0,1
2017-12-24,0,4
2017-12-25,0,44
2017-12-26,0,29
2017-12-27,2,96
2017-12-28,2,93
2017-12-29,7,107
2017-12-30,0,1
2017-12-31,0,3
2018-01-01,0,38
2018-01-02,9,105
2018-01-03,2,114
2018-01-04,3,109
2018-01-05,7,87
2018-01-06,0,3
2018-01-07,0,2
2018-01-08,6,113
2018-01-09,3,96
2018-01-10,6,109
2018-01-11,5,107
2018-01-12,4,95
2018-01-13,0,2
2018-01-14,0,3
2018-01-15,2,97
2018-01-16,5,108
2018-01-17,3,104
2018-01-18,7,97
2018-01-19,2,82
2018-01-20,0,2
2018-01-21,0,2
2018-01-22,6,94
2018-01-23,3,97
2018-01-24,3,111
2018-01-25,4,84
2018-01-26,7,85
2018-01-27,0,2
2018-01-28,0,3
2018-01-29,2,108
2018-01-30,2,107
2018-01-31,5,99
2018-02-01,5,104
2018-02-02,4,82
2018-02-03,0,2
2018-02-04,0,2
2018-02-05,3,83
2018-02-06,4,109
2018-02-07,3,104
2018-02-08,3,90
2018-02-09,8,94
2018-02-10,0,2
2018-02-11,0,2
2018-02-12,3,93
2018-02-13,4,97
2018-02-14,6,98
2018-02-15,8,78
2018-02-16,5,89
2018-02-17,0,2
2018-02-18,0,2
2018-02-19,3,93
2018-02-20,2,101
2018-02-21,5,80
2018-02-22,4,72
2018-02-23,7,83
2018-02-24,1,3
2018-02-25,0,1
2018-02-26,5,120
2018-02-27,1,104
2018-02-28,4,100
2018-03-01,6,74
2018-03-02,1,83
2018-03-03,0,3
2018-03-04,0,1
2018-03-05,4,100
2018-03-06,2,101
2018-03-07,4,99
2018-03-08,5,78
2018-03-09,2,84
2018-03-10,0,4
2018-03-11,0,1
2018-03-12,3,116
2018-03-13,4,114
2018-03-14,3,94
2018-03-15,2,77
2018-03-16,2,77
2018-03-17,1,5
2018-03-18,0,1
2018-03-19,5,95
2018-03-20,2,110
2018-03-21,1,79
2018-03-22,8,103
2018-03-23,6,91
2018-03-24,0,5
2018-03-25,0,1
2018-03-26,3,111
2018-03-27,4,104
2018-03-28,5,105
2018-03-29,5,99
2018-03-30,0,24
2018-03-31,0,4
2018-04-01,0,2
2018-04-02,0,37
2018-04-03,1,134
2018-04-04,4,96
2018-04-05,3,93
2018-04-06,6,89
2018-04-07,0,1
2018-04-08,0,0
2018-04-09,6,99
2018-04-10,7,119
2018-04-11,7,86
2018-04-12,1,83
2018-04-13,4,74
2018-04-14,0,2
2018-04-15,0,2
2018-04-16,4,102
2018-04-17,4,98
2018-04-18,4,86
2018-04-19,5,100
2018-04-20,3,65
2018-04-21,0,2
2018-04-22,0,1
2018-04-23,4,115
2018-04-24,4,125
2018-04-25,2,96
2018-04-26,6,90
2018-04-27,7,82
2018-04-28,1,3
2018-04-29,0,2
2018-04-30,5,113
2018-05-01,2,110
2018-05-02,3,89
2018-05-03,5,95
2018-05-04,6,103
2018-05-05,0,5
2018-05-06,0,1
2018-05-07,0,41
2018-05-08,2,103
2018-05-09,2,90
2018-05-10,5,79
2018-05-11,6,82
2018-05-12,0,3
2018-05-13,0,2
2018-05-14,2,89
2018-05-15,5,102
2018-05-16,6,98
2018-05-17,6,89
2018-05-18,2,73
2018-05-19,0,2
2018-05-20,0,1
2018-05-21,5,110
2018-05-22,1,83
2018-05-23,5,109
2018-05-24,3,97
2018-05-25,4,81
2018-05-26,0,3
2018-05-27,0,1
2018-05-28,0,30
2018-05-29,3,107
2018-05-30,3,103
2018-05-31,1,80
2018-06-01,3,81
2018-06-02,0,3
2018-06-03,0,0
2018-06-04,5,94
2018-06-05,3,89
2018-06-06,5,97
2018-06-07,3,79
2018-06-08,5,74
2018-06-09,0,2
2018-06-10,0,0
2018-06-11,6,88
2018-06-12,1,91
2018-06-13,3,96
2018-06-14,4,79
2018-06-15,7,82
2018-06-16,0,1
2018-06-17,0,1
2018-06-18,4,86
2018-06-19,4,104
