Date,IncidenceOfDepression,PrevalenceOfDepression
2015-10-16,10,63
2015-10-17,1,1
2015-10-18,0,1
2015-10-19,13,76
2015-10-20,13,84
2015-10-21,12,74
2015-10-22,17,87
2015-10-23,9,69
2015-10-24,0,0
2015-10-25,0,0
2015-10-26,9,77
2015-10-27,11,74
2015-10-28,12,69
2015-10-29,14,78
2015-10-30,14,67
2015-10-31,1,2
2015-11-01,0,1
2015-11-02,15,72
2015-11-03,24,102
2015-11-04,18,72
2015-11-05,18,82
2015-11-06,10,70
2015-11-07,1,2
2015-11-08,0,0
2015-11-09,15,86
2015-11-10,10,50
2015-11-11,8,66
2015-11-12,12,87
2015-11-13,16,64
2015-11-14,0,2
2015-11-15,0,1
2015-11-16,16,98
2015-11-17,8,48
2015-11-18,27,89
2015-11-19,14,79
2015-11-20,15,62
2015-11-21,0,1
2015-11-22,0,0
2015-11-23,20,85
2015-11-24,19,79
2015-11-25,14,73
2015-11-26,12,84
2015-11-27,10,57
2015-11-28,0,0
2015-11-29,0,0
2015-11-30,10,66
2015-12-01,9,60
2015-12-02,10,68
2015-12-03,16,92
2015-12-04,12,59
2015-12-05,0,3
2015-12-06,0,1
2015-12-07,10,71
2015-12-08,10,69
2015-12-09,14,83
2015-12-10,12,68
2015-12-11,19,75
2015-12-12,2,5
2015-12-13,0,0
2015-12-14,11,67
2015-12-15,12,89
2015-12-16,15,76
2015-12-17,14,71
2015-12-18,12,77
2015-12-19,1,1
2015-12-20,0,0
2015-12-21,16,90
2015-12-22,13,77
2015-12-23,7,44
2015-12-24,8,29
2015-12-25,0,0
2015-12-26,0,1
2015-12-27,0,0
2015-12-28,0,0
2015-12-29,11,59
2015-12-30,10,47
2015-12-31,5,34
2016-01-01,29,38
2016-01-02,0,1
2016-01-03,2,2
2016-01-04,16,98
2016-01-05,25,88
2016-01-06,9,70
2016-01-07,19,91
2016-01-08,9,63
2016-01-09,2,4
2016-01-10,0,0
2016-01-11,20,82
2016-01-12,14,74
2016-01-13,11,94
2016-01-14,20,100
2016-01-15,23,89
2016-01-16,2,3
2016-01-17,0,0
2016-01-18,20,101
2016-01-19,18,88
2016-01-20,12,66
2016-01-21,9,81
2016-01-22,12,63
2016-01-23,0,0
2016-01-24,0,1
2016-01-25,15,80
2016-01-26,12,68
2016-01-27,9,65
2016-01-28,15,95
2016-01-29,12,81
2016-01-30,1,2
2016-01-31,0,1
2016-02-01,15,93
2016-02-02,15,98
2016-02-03,15,67
2016-02-04,16,81
2016-02-05,16,71
2016-02-06,1,2
2016-02-07,0,0
2016-02-08,11,103
2016-02-09,11,78
2016-02-10,15,75
2016-02-11,11,75
2016-02-12,13,62
2016-02-13,0,4
2016-02-14,0,1
2016-02-15,14,91
2016-02-16,19,81
2016-02-17,16,78
2016-02-18,11,69
2016-02-19,13,66
2016-02-20,1,3
2016-02-21,1,2
2016-02-22,24,108
2016-02-23,14,89
2016-02-24,14,81
2016-02-25,10,75
2016-02-26,16,68
2016-02-27,1,2
2016-02-28,1,4
2016-02-29,15,110
2016-03-01,13,96
2016-03-02,18,76
2016-03-03,13,73
2016-03-04,14,73
2016-03-05,0,1
2016-03-06,0,0
2016-03-07,14,99
2016-03-08,17,79
2016-03-09,12,79
2016-03-10,24,95
2016-03-11,16,73
2016-03-12,1,2
2016-03-13,0,2
2016-03-14,15,79
2016-03-15,13,91
2016-03-16,15,66
2016-03-17,10,73
2016-03-18,11,76
2016-03-19,2,2
2016-03-20,0,0
2016-03-21,14,86
2016-03-22,21,98
2016-03-23,12,105
2016-03-24,6,69
2016-03-25,0,1
2016-03-26,1,2
2016-03-27,0,0
2016-03-28,0,0
2016-03-29,11,95
2016-03-30,8,76
2016-03-31,15,94
2016-04-01,12,68
2016-04-02,0,0
2016-04-03,0,1
2016-04-04,13,76
2016-04-05,6,81
2016-04-06,11,63
2016-04-07,12,68
2016-04-08,6,50
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,16,74
2016-04-12,12,82
2016-04-13,8,72
2016-04-14,11,73
2016-04-15,14,63
2016-04-16,0,0
2016-04-17,1,1
2016-04-18,15,101
2016-04-19,16,80
2016-04-20,16,88
2016-04-21,14,80
2016-04-22,5,53
2016-04-23,2,3
2016-04-24,0,0
2016-04-25,17,97
2016-04-26,19,81
2016-04-27,10,62
2016-04-28,14,82
2016-04-29,16,85
2016-04-30,0,0
2016-05-01,0,1
2016-05-02,1,3
2016-05-03,20,98
2016-05-04,12,88
2016-05-05,6,59
2016-05-06,12,66
2016-05-07,1,3
2016-05-08,0,0
2016-05-09,14,77
2016-05-10,13,85
2016-05-11,14,75
2016-05-12,8,64
2016-05-13,15,82
2016-05-14,0,1
2016-05-15,0,1
2016-05-16,9,95
2016-05-17,21,106
2016-05-18,17,82
2016-05-19,17,90
2016-05-20,11,74
2016-05-21,0,0
2016-05-22,1,1
2016-05-23,9,68
2016-05-24,16,80
2016-05-25,10,73
2016-05-26,15,77
2016-05-27,16,80
2016-05-28,0,2
2016-05-29,0,0
2016-05-30,0,0
2016-05-31,6,67
2016-06-01,9,50
2016-06-02,14,72
2016-06-03,9,62
2016-06-04,0,1
2016-06-05,0,2
2016-06-06,11,77
2016-06-07,18,73
2016-06-08,12,74
2016-06-09,10,72
2016-06-10,12,70
2016-06-11,1,1
2016-06-12,0,1
2016-06-13,13,71
2016-06-14,9,64
2016-06-15,16,71
2016-06-16,15,85
2016-06-17,11,69
2016-06-18,0,1
2016-06-19,0,0
2016-06-20,15,103
2016-06-21,9,79
2016-06-22,16,74
2016-06-23,14,82
2016-06-24,12,62
2016-06-25,0,1
2016-06-26,0,0
2016-06-27,9,76
2016-06-28,14,91
2016-06-29,6,71
2016-06-30,19,87
2016-07-01,16,55
2016-07-02,1,3
2016-07-03,0,1
2016-07-04,10,79
2016-07-05,11,78
2016-07-06,9,64
2016-07-07,19,73
2016-07-08,10,65
2016-07-09,1,2
2016-07-10,0,0
2016-07-11,9,85
2016-07-12,23,83
2016-07-13,15,73
2016-07-14,10,71
2016-07-15,15,78
2016-07-16,1,3
2016-07-17,2,3
2016-07-18,16,82
2016-07-19,12,67
2016-07-20,9,57
2016-07-21,10,93
2016-07-22,16,58
2016-07-23,0,1
2016-07-24,0,1
2016-07-25,6,65
2016-07-26,18,93
2016-07-27,8,54
2016-07-28,13,75
2016-07-29,15,83
2016-07-30,0,1
2016-07-31,0,0
2016-08-01,12,76
2016-08-02,15,85
2016-08-03,17,84
2016-08-04,10,63
2016-08-05,9,52
2016-08-06,1,3
2016-08-07,1,1
2016-08-08,15,66
2016-08-09,7,60
2016-08-10,14,75
2016-08-11,14,72
2016-08-12,13,56
2016-08-13,2,2
2016-08-14,0,0
2016-08-15,16,83
2016-08-16,10,63
2016-08-17,10,73
2016-08-18,11,68
2016-08-19,13,62
2016-08-20,0,2
2016-08-21,0,1
2016-08-22,12,71
2016-08-23,9,68
2016-08-24,12,64
2016-08-25,11,68
2016-08-26,11,53
2016-08-27,2,4
2016-08-28,0,0
2016-08-29,0,1
2016-08-30,11,85
2016-08-31,18,80
2016-09-01,10,82
2016-09-02,6,63
2016-09-03,0,0
2016-09-04,0,0
2016-09-05,18,92
2016-09-06,15,80
2016-09-07,9,66
2016-09-08,14,72
2016-09-09,10,71
2016-09-10,0,1
2016-09-11,0,1
2016-09-12,14,85
2016-09-13,21,88
2016-09-14,13,80
2016-09-15,15,97
2016-09-16,15,57
2016-09-17,0,2
2016-09-18,0,0
2016-09-19,14,86
2016-09-20,23,92
2016-09-21,9,87
2016-09-22,14,86
2016-09-23,9,66
2016-09-24,0,0
2016-09-25,1,1
2016-09-26,22,98
2016-09-27,17,91
2016-09-28,8,87
2016-09-29,16,77
2016-09-30,12,65
2016-10-01,0,2
2016-10-02,0,0
2016-10-03,25,91
2016-10-04,8,68
2016-10-05,11,79
2016-10-06,13,72
2016-10-07,17,84
2016-10-08,0,0
2016-10-09,0,0
2016-10-10,19,93
2016-10-11,12,86
2016-10-12,12,85
2016-10-13,11,71
2016-10-14,12,61
2016-10-15,0,3
2016-10-16,1,1
2016-10-17,17,94
2016-10-18,15,84
2016-10-19,9,69
2016-10-20,14,95
2016-10-21,9,59
2016-10-22,0,1
2016-10-23,0,0
2016-10-24,22,86
2016-10-25,11,61
2016-10-26,6,76
2016-10-27,13,86
2016-10-28,12,58
2016-10-29,0,1
2016-10-30,0,1
2016-10-31,15,92
2016-11-01,23,93
2016-11-02,8,53
2016-11-03,24,88
2016-11-04,8,70
2016-11-05,0,0
2016-11-06,0,0
2016-11-07,15,93
2016-11-08,15,80
2016-11-09,11,71
2016-11-10,14,84
2016-11-11,20,79
2016-11-12,1,3
2016-11-13,1,1
2016-11-14,16,92
2016-11-15,17,103
2016-11-16,12,91
2016-11-17,12,90
2016-11-18,11,70
2016-11-19,0,1
2016-11-20,0,0
2016-11-21,11,73
2016-11-22,15,65
2016-11-23,15,87
2016-11-24,11,92
2016-11-25,18,75
2016-11-26,1,1
2016-11-27,0,0
2016-11-28,16,97
2016-11-29,12,82
2016-11-30,16,84
2016-12-01,8,79
2016-12-02,11,74
2016-12-03,1,2
2016-12-04,1,1
2016-12-05,20,108
2016-12-06,18,91
2016-12-07,15,84
2016-12-08,12,82
2016-12-09,8,66
2016-12-10,0,1
2016-12-11,0,0
2016-12-12,13,81
2016-12-13,12,88
2016-12-14,13,71
2016-12-15,9,86
2016-12-16,13,60
2016-12-17,1,2
2016-12-18,1,1
2016-12-19,13,84
2016-12-20,8,70
2016-12-21,8,65
2016-12-22,13,76
2016-12-23,6,49
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,0
2016-12-27,0,0
2016-12-28,8,50
2016-12-29,12,62
2016-12-30,12,62
2016-12-31,0,1
2017-01-01,16,24
2017-01-02,0,0
2017-01-03,7,70
2017-01-04,13,71
2017-01-05,20,104
2017-01-06,17,79
2017-01-07,0,0
2017-01-08,0,1
2017-01-09,16,87
2017-01-10,15,97
2017-01-11,12,69
2017-01-12,11,90
2017-01-13,20,81
2017-01-14,0,2
2017-01-15,0,0
2017-01-16,22,100
2017-01-17,15,114
2017-01-18,12,97
2017-01-19,7,82
2017-01-20,8,73
2017-01-21,1,2
2017-01-22,0,0
2017-01-23,17,95
2017-01-24,15,80
2017-01-25,7,64
2017-01-26,11,95
2017-01-27,14,71
2017-01-28,1,4
2017-01-29,0,0
2017-01-30,13,70
2017-01-31,29,88
2017-02-01,9,69
2017-02-02,21,124
2017-02-03,8,67
2017-02-04,0,3
2017-02-05,0,0
2017-02-06,13,99
2017-02-07,19,88
2017-02-08,12,82
2017-02-09,15,103
2017-02-10,8,73
2017-02-11,0,1
2017-02-12,0,0
2017-02-13,7,87
2017-02-14,25,84
2017-02-15,11,78
2017-02-16,13,89
2017-02-17,11,75
2017-02-18,2,4
2017-02-19,0,0
2017-02-20,15,98
2017-02-21,16,87
2017-02-22,14,68
2017-02-23,10,72
2017-02-24,14,65
2017-02-25,0,6
2017-02-26,0,0
2017-02-27,16,93
2017-02-28,12,86
2017-03-01,16,89
2017-03-02,18,94
2017-03-03,12,76
2017-03-04,0,2
2017-03-05,0,0
2017-03-06,13,106
2017-03-07,20,114
2017-03-08,6,76
2017-03-09,12,105
2017-03-10,20,92
2017-03-11,3,4
2017-03-12,0,1
2017-03-13,16,94
2017-03-14,15,82
2017-03-15,13,92
2017-03-16,18,102
2017-03-17,10,63
2017-03-18,0,2
2017-03-19,0,0
2017-03-20,20,92
2017-03-21,7,104
2017-03-22,11,85
2017-03-23,17,117
2017-03-24,19,88
2017-03-25,2,3
2017-03-26,0,1
2017-03-27,15,84
2017-03-28,9,83
2017-03-29,7,72
2017-03-30,16,110
2017-03-31,14,82
2017-04-01,3,9
2017-04-02,0,1
2017-04-03,12,82
2017-04-04,15,93
2017-04-05,8,81
2017-04-06,16,112
2017-04-07,12,61
2017-04-08,1,4
2017-04-09,0,1
2017-04-10,8,95
2017-04-11,11,92
2017-04-12,10,84
2017-04-13,13,93
2017-04-14,0,1
2017-04-15,0,1
2017-04-16,1,1
2017-04-17,0,0
2017-04-18,9,109
2017-04-19,11,88
2017-04-20,13,104
2017-04-21,9,87
2017-04-22,1,2
2017-04-23,0,0
2017-04-24,18,97
2017-04-25,12,92
2017-04-26,19,98
2017-04-27,10,100
2017-04-28,12,79
2017-04-29,0,2
2017-04-30,0,0
2017-05-01,1,1
2017-05-02,16,99
2017-05-03,14,87
2017-05-04,20,80
2017-05-05,14,90
2017-05-06,2,2
2017-05-07,0,1
2017-05-08,22,94
2017-05-09,17,118
2017-05-10,16,98
2017-05-11,9,81
2017-05-12,10,71
2017-05-13,0,1
2017-05-14,1,1
2017-05-15,13,83
2017-05-16,13,107
2017-05-17,15,74
2017-05-18,17,100
2017-05-19,12,84
2017-05-20,0,1
2017-05-21,0,0
2017-05-22,9,89
2017-05-23,10,89
2017-05-24,11,74
2017-05-25,7,97
2017-05-26,11,49
2017-05-27,1,3
2017-05-28,0,0
2017-05-29,1,1
2017-05-30,16,90
2017-05-31,21,87
2017-06-01,9,76
2017-06-02,11,66
2017-06-03,0,2
2017-06-04,0,0
2017-06-05,17,86
2017-06-06,25,99
2017-06-07,12,63
2017-06-08,12,71
2017-06-09,10,64
2017-06-10,1,4
2017-06-11,0,0
2017-06-12,12,91
2017-06-13,13,73
2017-06-14,10,90
2017-06-15,12,96
2017-06-16,15,77
2017-06-17,1,1
2017-06-18,0,0
2017-06-19,11,70
2017-06-20,9,87
2017-06-21,9,97
2017-06-22,14,79
2017-06-23,4,70
2017-06-24,2,2
2017-06-25,0,0
2017-06-26,14,89
2017-06-27,16,83
2017-06-28,7,66
2017-06-29,19,90
2017-06-30,10,74
2017-07-01,4,6
2017-07-02,0,1
2017-07-03,14,96
2017-07-04,21,89
2017-07-05,12,84
2017-07-06,14,94
2017-07-07,16,84
2017-07-08,0,0
2017-07-09,0,1
2017-07-10,14,90
2017-07-11,24,106
2017-07-12,14,82
2017-07-13,13,83
2017-07-14,12,76
2017-07-15,1,3
2017-07-16,1,2
2017-07-17,14,99
2017-07-18,14,90
2017-07-19,9,86
2017-07-20,22,104
2017-07-21,14,94
2017-07-22,1,3
2017-07-23,0,0
2017-07-24,14,77
2017-07-25,19,94
2017-07-26,10,76
2017-07-27,7,95
2017-07-28,7,69
2017-07-29,0,2
2017-07-30,0,0
2017-07-31,18,87
2017-08-01,12,104
2017-08-02,5,75
2017-08-03,13,87
2017-08-04,10,88
2017-08-05,0,1
2017-08-06,0,1
2017-08-07,20,80
2017-08-08,13,88
2017-08-09,8,98
2017-08-10,12,86
2017-08-11,17,88
2017-08-12,0,4
2017-08-13,0,0
2017-08-14,14,81
2017-08-15,16,96
2017-08-16,12,79
2017-08-17,15,70
2017-08-18,13,83
2017-08-19,0,1
2017-08-20,0,1
2017-08-21,15,84
2017-08-22,10,89
2017-08-23,12,68
2017-08-24,7,96
2017-08-25,12,69
2017-08-26,0,1
2017-08-27,0,1
2017-08-28,0,0
2017-08-29,8,75
2017-08-30,16,83
2017-08-31,14,91
2017-09-01,17,95
2017-09-02,0,3
2017-09-03,0,0
2017-09-04,18,102
2017-09-05,15,86
2017-09-06,10,73
2017-09-07,17,107
2017-09-08,15,88
2017-09-09,1,2
2017-09-10,0,4
2017-09-11,17,101
2017-09-12,19,107
2017-09-13,9,73
2017-09-14,17,91
2017-09-15,8,67
2017-09-16,0,2
2017-09-17,0,1
2017-09-18,17,95
2017-09-19,13,73
2017-09-20,19,93
2017-09-21,13,94
2017-09-22,17,73
2017-09-23,1,3
2017-09-24,0,0
2017-09-25,14,105
2017-09-26,18,94
2017-09-27,20,88
2017-09-28,16,98
2017-09-29,15,77
2017-09-30,0,0
2017-10-01,1,2
2017-10-02,17,91
2017-10-03,15,88
2017-10-04,20,100
2017-10-05,20,105
2017-10-06,17,86
2017-10-07,0,0
2017-10-08,0,3
2017-10-09,16,94
2017-10-10,18,105
2017-10-11,20,104
2017-10-12,16,95
2017-10-13,15,71
2017-10-14,0,0
2017-10-15,0,1
2017-10-16,19,111
2017-10-17,19,91
2017-10-18,16,89
2017-10-19,15,112
2017-10-20,19,83
2017-10-21,1,3
2017-10-22,0,0
2017-10-23,14,90
2017-10-24,14,84
2017-10-25,10,71
2017-10-26,15,98
2017-10-27,17,70
2017-10-28,0,2
2017-10-29,1,5
2017-10-30,14,95
2017-10-31,9,87
2017-11-01,20,114
2017-11-02,20,107
2017-11-03,15,81
2017-11-04,0,2
2017-11-05,0,0
2017-11-06,24,92
2017-11-07,10,71
2017-11-08,11,86
2017-11-09,26,124
2017-11-10,17,77
2017-11-11,0,2
2017-11-12,0,3
2017-11-13,18,94
2017-11-14,9,110
2017-11-15,13,105
2017-11-16,17,105
2017-11-17,16,76
2017-11-18,0,3
2017-11-19,0,0
2017-11-20,21,89
2017-11-21,18,108
2017-11-22,14,95
2017-11-23,22,105
2017-11-24,16,89
2017-11-25,1,1
2017-11-26,0,0
2017-11-27,16,104
2017-11-28,18,102
2017-11-29,13,90
2017-11-30,19,103
2017-12-01,15,77
2017-12-02,0,5
2017-12-03,1,2
2017-12-04,15,101
2017-12-05,16,91
2017-12-06,14,99
2017-12-07,11,94
2017-12-08,12,78
2017-12-09,0,3
2017-12-10,1,1
2017-12-11,8,91
2017-12-12,11,98
2017-12-13,13,93
2017-12-14,18,93
2017-12-15,16,79
2017-12-16,0,3
2017-12-17,0,1
2017-12-18,3,76
2017-12-19,11,90
2017-12-20,10,98
2017-12-21,15,77
2017-12-22,9,47
2017-12-23,0,1
2017-12-24,0,0
2017-12-25,0,0
2017-12-26,0,0
2017-12-27,13,49
2017-12-28,7,44
2017-12-29,7,55
2017-12-30,0,0
2017-12-31,0,0
2018-01-01,3,11
2018-01-02,19,68
2018-01-03,16,85
2018-01-04,17,96
2018-01-05,11,76
2018-01-06,1,4
2018-01-07,0,2
2018-01-08,13,85
2018-01-09,13,98
2018-01-10,8,86
2018-01-11,15,83
2018-01-12,19,84
2018-01-13,0,0
2018-01-14,0,1
2018-01-15,17,107
2018-01-16,23,120
2018-01-17,17,99
2018-01-18,17,118
2018-01-19,8,69
2018-01-20,0,3
2018-01-21,0,2
2018-01-22,26,100
2018-01-23,12,99
2018-01-24,18,93
2018-01-25,16,84
2018-01-26,26,88
2018-01-27,0,1
2018-01-28,0,0
2018-01-29,14,77
2018-01-30,21,99
2018-01-31,25,104
2018-02-01,11,105
2018-02-02,15,83
2018-02-03,2,3
2018-02-04,0,1
2018-02-05,10,102
2018-02-06,24,106
2018-02-07,10,100
2018-02-08,15,103
2018-02-09,12,77
2018-02-10,2,5
2018-02-11,0,0
2018-02-12,16,83
2018-02-13,15,88
2018-02-14,15,92
2018-02-15,8,67
2018-02-16,9,84
2018-02-17,0,3
2018-02-18,1,5
2018-02-19,21,90
2018-02-20,15,96
2018-02-21,19,76
2018-02-22,21,97
2018-02-23,16,63
2018-02-24,0,0
2018-02-25,0,0
2018-02-26,13,83
2018-02-27,10,91
2018-02-28,15,83
2018-03-01,14,113
2018-03-02,11,79
2018-03-03,1,3
2018-03-04,0,1
2018-03-05,16,99
2018-03-06,16,90
2018-03-07,17,100
2018-03-08,21,104
2018-03-09,15,93
2018-03-10,1,1
2018-03-11,0,0
2018-03-12,21,117
2018-03-13,21,117
2018-03-14,18,96
2018-03-15,12,80
2018-03-16,13,96
2018-03-17,0,0
2018-03-18,0,1
2018-03-19,16,102
2018-03-20,12,93
2018-03-21,15,79
2018-03-22,16,96
2018-03-23,19,81
2018-03-24,0,0
2018-03-25,0,2
2018-03-26,11,92
2018-03-27,17,115
2018-03-28,10,92
2018-03-29,9,91
2018-03-30,0,0
2018-03-31,0,2
2018-04-01,0,1
2018-04-02,0,0
2018-04-03,12,97
2018-04-04,14,113
2018-04-05,16,114
2018-04-06,8,81
2018-04-07,0,3
2018-04-08,0,0
2018-04-09,22,97
2018-04-10,16,102
2018-04-11,10,86
2018-04-12,12,96
2018-04-13,21,101
2018-04-14,0,1
2018-04-15,0,0
2018-04-16,14,110
2018-04-17,25,112
2018-04-18,22,111
2018-04-19,17,104
2018-04-20,14,78
2018-04-21,0,2
2018-04-22,1,2
2018-04-23,15,90
2018-04-24,12,92
2018-04-25,20,114
2018-04-26,19,113
2018-04-27,18,85
2018-04-28,0,1
2018-04-29,1,1
2018-04-30,18,100
2018-05-01,14,112
2018-05-02,19,93
2018-05-03,19,115
2018-05-04,14,87
2018-05-05,0,2
2018-05-06,0,1
2018-05-07,1,1
2018-05-08,16,96
2018-05-09,13,97
2018-05-10,21,131
2018-05-11,13,87
2018-05-12,1,3
2018-05-13,0,1
2018-05-14,19,112
2018-05-15,17,91
2018-05-16,17,99
2018-05-17,22,119
2018-05-18,14,89
2018-05-19,3,5
2018-05-20,0,0
2018-05-21,24,121
2018-05-22,10,100
2018-05-23,14,94
2018-05-24,13,111
2018-05-25,11,88
2018-05-26,0,2
2018-05-27,1,1
2018-05-28,1,2
2018-05-29,11,102
2018-05-30,19,100
2018-05-31,16,97
2018-06-01,17,90
2018-06-02,0,2
2018-06-03,1,1
2018-06-04,21,105
2018-06-05,14,100
2018-06-06,22,91
2018-06-07,8,92
2018-06-08,19,107
2018-06-09,1,1
2018-06-10,0,3
2018-06-11,22,115
2018-06-12,14,107
2018-06-13,20,103
2018-06-14,18,116
2018-06-15,8,93
2018-06-16,0,2
2018-06-17,0,1
2018-06-18,19,112
2018-06-19,21,112
2018-06-20,11,83
