Date,IncidenceOfCardiovascular,PrevalenceOfCardiovascular
2018-06-12,8,56
2018-06-13,10,64
2018-06-14,8,83
2018-06-15,12,46
2018-06-16,5,5
2018-06-17,2,4
2018-06-18,10,73
2018-06-19,21,154
2018-06-20,16,53
2018-06-21,20,69
2018-06-22,14,51
2018-06-23,1,5
2018-06-24,4,4
2018-06-25,13,67
2018-06-26,10,68
2018-06-27,13,49
2018-06-28,12,46
2018-06-29,14,46
2018-06-30,1,6
2018-07-01,3,9
2018-07-02,13,57
2018-07-03,11,55
2018-07-04,9,53
2018-07-05,11,54
2018-07-06,8,39
2018-07-07,1,3
2018-07-08,2,6
2018-07-09,9,50
2018-07-10,12,41
2018-07-11,13,51
2018-07-12,12,54
2018-07-13,11,40
2018-07-14,7,10
2018-07-15,2,5
2018-07-16,17,64
2018-07-17,13,55
2018-07-18,10,52
2018-07-19,10,56
2018-07-20,14,40
2018-07-21,4,9
2018-07-22,1,4
2018-07-23,20,69
2018-07-24,10,37
2018-07-25,11,55
2018-07-26,16,64
2018-07-27,11,44
2018-07-28,2,3
2018-07-29,1,2
2018-07-30,9,55
2018-07-31,17,62
2018-08-01,15,62
2018-08-02,10,47
2018-08-03,12,60
2018-08-04,6,10
2018-08-05,1,3
2018-08-06,6,55
2018-08-07,15,87
2018-08-08,8,58
2018-08-09,16,46
2018-08-10,12,49
2018-08-11,4,10
2018-08-12,0,1
2018-08-13,15,61
2018-08-14,16,70
2018-08-15,9,47
2018-08-16,9,32
2018-08-17,15,57
2018-08-18,2,5
2018-08-19,3,7
2018-08-20,17,83
2018-08-21,7,52
2018-08-22,11,70
2018-08-23,15,55
2018-08-24,12,45
2018-08-25,2,3
2018-08-26,3,4
2018-08-27,2,4
2018-08-28,7,74
2018-08-29,12,101
2018-08-30,8,48
2018-08-31,5,44
2018-09-01,2,8
2018-09-02,2,5
2018-09-03,10,59
2018-09-04,11,64
2018-09-05,12,56
2018-09-06,13,75
2018-09-07,12,59
2018-09-08,5,10
2018-09-09,5,8
2018-09-10,9,64
2018-09-11,11,68
2018-09-12,15,53
2018-09-13,9,47
2018-09-14,16,45
2018-09-15,1,7
2018-09-16,2,4
2018-09-17,11,52
2018-09-18,18,57
2018-09-19,13,44
2018-09-20,16,51
2018-09-21,13,40
2018-09-22,2,8
2018-09-23,0,2
2018-09-24,11,58
2018-09-25,14,79
2018-09-26,13,65
2018-09-27,14,58
2018-09-28,6,46
2018-09-29,1,4
2018-09-30,0,0
2018-10-01,15,67
2018-10-02,18,89
2018-10-03,13,68
2018-10-04,18,63
2018-10-05,13,66
2018-10-06,2,2
2018-10-07,0,0
2018-10-08,17,67
2018-10-09,12,49
2018-10-10,12,55
2018-10-11,11,52
2018-10-12,13,65
2018-10-13,1,3
2018-10-14,0,2
2018-10-15,16,59
2018-10-16,9,65
2018-10-17,19,80
2018-10-18,13,60
2018-10-19,14,54
2018-10-20,1,3
2018-10-21,1,2
2018-10-22,13,58
2018-10-23,7,58
2018-10-24,6,45
2018-10-25,13,61
2018-10-26,5,51
2018-10-27,0,2
2018-10-28,0,1
2018-10-29,9,79
2018-10-30,12,81
2018-10-31,15,73
2018-11-01,8,75
2018-11-02,18,65
2018-11-03,0,5
2018-11-04,0,1
2018-11-05,9,59
2018-11-06,14,70
2018-11-07,9,67
2018-11-08,19,82
2018-11-09,12,53
2018-11-10,1,1
2018-11-11,1,3
2018-11-12,11,107
2018-11-13,20,75
2018-11-14,10,61
2018-11-15,16,63
2018-11-16,7,60
2018-11-17,1,3
2018-11-18,6,8
2018-11-19,10,60
2018-11-20,11,65
2018-11-21,5,59
2018-11-22,16,68
2018-11-23,10,42
2018-11-24,1,5
2018-11-25,2,3
2018-11-26,12,68
2018-11-27,11,41
2018-11-28,21,71
2018-11-29,17,78
2018-11-30,10,60
2018-12-01,2,4
2018-12-02,2,3
2018-12-03,19,77
2018-12-04,11,83
2018-12-05,15,86
2018-12-06,13,74
2018-12-07,9,64
2018-12-08,1,3
2018-12-09,0,3
2018-12-10,16,88
2018-12-11,14,85
2018-12-12,14,93
2018-12-13,11,81
2018-12-14,14,67
2018-12-15,2,8
2018-12-16,3,3
2018-12-17,10,107
2018-12-18,13,116
2018-12-19,13,102
2018-12-20,9,180
2018-12-21,12,68
2018-12-22,3,4
2018-12-23,3,5
2018-12-24,8,105
2018-12-25,0,5
2018-12-26,0,0
2018-12-27,12,47
2018-12-28,7,99
2018-12-29,2,2
2018-12-30,0,1
2018-12-31,9,45
2019-01-01,4,8
2019-01-02,8,54
2019-01-03,10,63
2019-01-04,13,71
2019-01-05,4,9
2019-01-06,2,9
2019-01-07,11,78
2019-01-08,18,116
2019-01-09,10,87
2019-01-10,11,104
2019-01-11,18,68
2019-01-12,4,11
2019-01-13,2,4
2019-01-14,16,86
2019-01-15,12,75
2019-01-16,9,56
2019-01-17,10,69
2019-01-18,16,63
2019-01-19,1,6
2019-01-20,2,6
2019-01-21,16,72
2019-01-22,11,77
2019-01-23,11,69
2019-01-24,13,86
2019-01-25,7,59
2019-01-26,2,3
2019-01-27,2,3
2019-01-28,13,70
2019-01-29,11,62
2019-01-30,13,45
2019-01-31,16,77
2019-02-01,17,63
2019-02-02,1,3
2019-02-03,3,4
2019-02-04,12,71
2019-02-05,15,74
2019-02-06,13,76
2019-02-07,21,78
2019-02-08,8,45
2019-02-09,2,7
2019-02-10,1,2
2019-02-11,15,59
2019-02-12,20,96
2019-02-13,11,77
2019-02-14,15,60
2019-02-15,5,51
2019-02-16,4,5
2019-02-17,2,4
2019-02-18,17,81
2019-02-19,13,79
2019-02-20,13,69
2019-02-21,16,73
2019-02-22,14,66
2019-02-23,3,5
2019-02-24,2,4
2019-02-25,14,79
2019-02-26,7,67
2019-02-27,10,90
2019-02-28,17,70
2019-03-01,16,60
2019-03-02,1,3
2019-03-03,2,2
2019-03-04,19,107
2019-03-05,15,81
2019-03-06,11,79
2019-03-07,15,58
2019-03-08,10,41
2019-03-09,1,4
2019-03-10,5,6
2019-03-11,20,88
2019-03-12,12,83
2019-03-13,12,81
2019-03-14,13,65
2019-03-15,18,78
2019-03-16,5,16
2019-03-17,1,1
2019-03-18,8,84
2019-03-19,13,79
2019-03-20,7,64
2019-03-21,9,54
2019-03-22,19,65
2019-03-23,0,3
2019-03-24,1,1
2019-03-25,12,86
2019-03-26,14,84
2019-03-27,14,73
2019-03-28,14,71
2019-03-29,18,59
2019-03-30,1,3
2019-03-31,0,2
2019-04-01,20,89
2019-04-02,13,77
2019-04-03,13,75
2019-04-04,15,78
2019-04-05,19,77
2019-04-06,1,5
2019-04-07,4,5
2019-04-08,15,73
2019-04-09,13,91
2019-04-10,14,97
2019-04-11,13,80
2019-04-12,9,65
2019-04-13,2,4
2019-04-14,1,3
2019-04-15,15,91
2019-04-16,13,69
2019-04-17,10,70
2019-04-18,16,73
2019-04-19,2,4
2019-04-20,0,1
2019-04-21,4,5
2019-04-22,4,11
2019-04-23,12,82
2019-04-24,17,93
2019-04-25,15,57
2019-04-26,11,82
2019-04-27,5,8
2019-04-28,0,2
2019-04-29,21,89
2019-04-30,11,76
2019-05-01,22,95
2019-05-02,12,65
2019-05-03,16,77
2019-05-04,2,7
2019-05-05,1,6
2019-05-06,1,5
2019-05-07,19,73
2019-05-08,13,66
2019-05-09,18,70
2019-05-10,12,57
2019-05-11,2,5
2019-05-12,2,5
2019-05-13,16,68
2019-05-14,22,84
2019-05-15,11,72
2019-05-16,8,109
2019-05-17,13,64
2019-05-18,2,2
2019-05-19,2,4
2019-05-20,17,133
2019-05-21,16,116
2019-05-22,10,109
2019-05-23,18,95
2019-05-24,16,69
2019-05-25,1,4
2019-05-26,1,3
2019-05-27,1,3
2019-05-28,12,91
2019-05-29,14,68
2019-05-30,12,75
2019-05-31,14,62
2019-06-01,7,8
2019-06-02,3,4
2019-06-03,13,70
2019-06-04,18,80
2019-06-05,10,74
2019-06-06,11,67
2019-06-07,17,68
2019-06-08,2,5
2019-06-09,1,2
2019-06-10,19,79
2019-06-11,21,147
2019-06-12,13,103
2019-06-13,14,76
2019-06-14,13,81
2019-06-15,2,4
2019-06-16,2,4
2019-06-17,20,93
2019-06-18,21,137
2019-06-19,9,122
2019-06-20,20,97
2019-06-21,10,59
2019-06-22,0,1
2019-06-23,1,2
2019-06-24,14,118
2019-06-25,14,91
2019-06-26,18,129
2019-06-27,15,162
2019-06-28,11,103
2019-06-29,5,8
2019-06-30,0,2
2019-07-01,10,73
2019-07-02,7,79
2019-07-03,8,81
2019-07-04,14,77
2019-07-05,15,64
2019-07-06,2,5
2019-07-07,2,3
2019-07-08,12,123
2019-07-09,9,85
2019-07-10,11,108
2019-07-11,12,102
2019-07-12,8,55
2019-07-13,4,11
2019-07-14,2,3
2019-07-15,12,73
2019-07-16,11,85
2019-07-17,8,67
2019-07-18,12,110
2019-07-19,11,61
2019-07-20,1,3
2019-07-21,1,1
2019-07-22,16,112
2019-07-23,17,108
2019-07-24,10,77
2019-07-25,10,74
2019-07-26,12,41
2019-07-27,1,1
2019-07-28,4,7
2019-07-29,9,178
2019-07-30,10,76
2019-07-31,11,107
2019-08-01,8,62
2019-08-02,12,54
2019-08-03,3,5
2019-08-04,1,2
2019-08-05,8,79
2019-08-06,12,81
2019-08-07,7,57
2019-08-08,7,61
2019-08-09,10,62
2019-08-10,2,5
2019-08-11,1,2
2019-08-12,9,89
2019-08-13,8,88
2019-08-14,13,75
2019-08-15,19,105
2019-08-16,14,89
2019-08-17,1,4
2019-08-18,1,5
2019-08-19,11,103
2019-08-20,13,126
2019-08-21,11,59
2019-08-22,14,82
2019-08-23,11,76
2019-08-24,1,1
2019-08-25,1,1
2019-08-26,0,4
2019-08-27,7,80
2019-08-28,7,103
2019-08-29,10,68
2019-08-30,10,60
2019-08-31,1,5
2019-09-01,1,2
2019-09-02,12,86
2019-09-03,10,93
2019-09-04,16,86
2019-09-05,9,61
2019-09-06,13,55
2019-09-07,0,1
2019-09-08,1,2
2019-09-09,16,74
2019-09-10,12,76
2019-09-11,5,66
2019-09-12,12,78
2019-09-13,11,64
2019-09-14,6,10
2019-09-15,2,4
2019-09-16,19,122
2019-09-17,12,103
2019-09-18,15,73
2019-09-19,8,71
2019-09-20,11,51
2019-09-21,0,3
2019-09-22,0,2
2019-09-23,9,64
2019-09-24,17,94
2019-09-25,8,71
2019-09-26,16,81
2019-09-27,9,87
2019-09-28,2,7
2019-09-29,2,3
2019-09-30,18,94
2019-10-01,8,87
2019-10-02,15,89
2019-10-03,14,121
2019-10-04,11,60
2019-10-05,3,3
2019-10-06,1,4
2019-10-07,12,75
2019-10-08,20,80
2019-10-09,10,86
2019-10-10,20,80
2019-10-11,10,62
2019-10-12,1,6
2019-10-13,2,3
2019-10-14,13,109
2019-10-15,12,108
2019-10-16,15,103
2019-10-17,12,79
2019-10-18,9,64
2019-10-19,3,3
2019-10-20,2,4
2019-10-21,6,69
2019-10-22,10,70
2019-10-23,6,47
2019-10-24,16,60
2019-10-25,8,37
2019-10-26,1,7
2019-10-27,2,3
2019-10-28,10,75
2019-10-29,15,71
2019-10-30,9,51
2019-10-31,15,67
2019-11-01,6,55
2019-11-02,3,11
2019-11-03,2,4
2019-11-04,19,60
2019-11-05,10,78
2019-11-06,17,71
2019-11-07,5,46
2019-11-08,15,64
2019-11-09,4,4
2019-11-10,0,1
2019-11-11,15,64
2019-11-12,9,52
2019-11-13,11,55
2019-11-14,15,60
2019-11-15,27,62
2019-11-16,2,5
2019-11-17,1,1
2019-11-18,10,52
2019-11-19,18,80
2019-11-20,8,55
2019-11-21,16,53
2019-11-22,19,57
2019-11-23,2,5
2019-11-24,0,1
2019-11-25,13,64
2019-11-26,15,92
2019-11-27,10,53
2019-11-28,15,45
2019-11-29,12,55
2019-11-30,3,4
2019-12-01,3,9
2019-12-02,12,53
2019-12-03,14,61
2019-12-04,14,55
2019-12-05,6,46
2019-12-06,15,63
2019-12-07,1,2
2019-12-08,1,2
2019-12-09,8,51
2019-12-10,17,62
2019-12-11,16,52
2019-12-12,16,68
2019-12-13,18,54
2019-12-14,2,2
2019-12-15,1,2
2019-12-16,15,74
2019-12-17,14,75
2019-12-18,13,55
2019-12-19,22,58
2019-12-20,15,67
2019-12-21,2,4
2019-12-22,0,2
2019-12-23,13,67
2019-12-24,4,45
2019-12-25,1,1
2019-12-26,0,1
2019-12-27,6,20
2019-12-28,1,8
2019-12-29,2,4
2019-12-30,10,48
2019-12-31,14,51
2020-01-01,7,9
2020-01-02,12,55
2020-01-03,14,54
2020-01-04,0,2
2020-01-05,0,1
2020-01-06,16,80
2020-01-07,15,105
2020-01-08,12,79
2020-01-09,9,75
2020-01-10,7,64
2020-01-11,5,9
2020-01-12,2,7
2020-01-13,17,97
2020-01-14,14,145
2020-01-15,17,129
2020-01-16,13,91
2020-01-17,14,78
2020-01-18,3,7
2020-01-19,3,5
2020-01-20,13,93
2020-01-21,15,97
2020-01-22,11,63
2020-01-23,14,82
2020-01-24,7,60
2020-01-25,1,2
2020-01-26,4,4
2020-01-27,19,107
2020-01-28,18,84
2020-01-29,11,70
2020-01-30,19,87
2020-01-31,16,60
2020-02-01,3,5
2020-02-02,4,6
2020-02-03,14,103
2020-02-04,17,110
2020-02-05,13,95
2020-02-06,8,68
2020-02-07,8,72
2020-02-08,4,5
2020-02-09,1,4
2020-02-10,14,88
2020-02-11,19,99
2020-02-12,20,100
2020-02-13,12,79
2020-02-14,12,89
2020-02-15,0,3
2020-02-16,1,1
2020-02-17,18,80
2020-02-18,13,109
2020-02-19,14,75
2020-02-20,19,75
2020-02-21,14,68
2020-02-22,3,4
2020-02-23,0,1
2020-02-24,8,135
2020-02-25,12,113
2020-02-26,11,85
2020-02-27,14,171
2020-02-28,8,49
2020-02-29,0,0
2020-03-01,1,2
2020-03-02,16,107
2020-03-03,10,100
2020-03-04,6,90
2020-03-05,12,101
2020-03-06,4,45
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,7,70
2020-03-10,5,51
2020-03-11,14,63
2020-03-12,17,57
2020-03-13,11,47
2020-03-14,1,2
2020-03-15,1,1
2020-03-16,12,51
2020-03-17,11,58
2020-03-18,9,35
2020-03-19,6,36
2020-03-20,11,33
2020-03-21,0,0
2020-03-22,1,3
2020-03-23,6,38
2020-03-24,10,42
2020-03-25,4,26
2020-03-26,7,28
2020-03-27,7,25
2020-03-28,0,0
2020-03-29,0,1
2020-03-30,7,24
2020-03-31,5,34
2020-04-01,8,21
2020-04-02,3,11
2020-04-03,8,26
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,2,24
2020-04-07,11,25
2020-04-08,6,21
2020-04-09,3,16
2020-04-10,5,10
2020-04-11,0,1
2020-04-12,1,1
2020-04-13,1,11
2020-04-14,8,30
2020-04-15,5,21
2020-04-16,7,25
2020-04-17,4,21
2020-04-18,2,4
2020-04-19,0,0
2020-04-20,6,31
2020-04-21,6,31
2020-04-22,4,23
2020-04-23,5,23
2020-04-24,9,24
2020-04-25,0,0
2020-04-26,1,2
2020-04-27,3,31
2020-04-28,8,40
2020-04-29,5,33
2020-04-30,9,29
2020-05-01,7,20
2020-05-02,1,1
2020-05-03,0,0
2020-05-04,9,77
2020-05-05,11,74
2020-05-06,4,20
2020-05-07,5,35
2020-05-08,1,4
2020-05-09,2,3
2020-05-10,1,2
2020-05-11,3,32
2020-05-12,5,43
2020-05-13,7,34
2020-05-14,4,27
2020-05-15,6,15
2020-05-16,2,2
2020-05-17,1,2
2020-05-18,5,41
2020-05-19,5,37
2020-05-20,4,35
2020-05-21,2,15
2020-05-22,5,22
2020-05-23,0,0
2020-05-24,1,1
2020-05-25,0,0
2020-05-26,3,11
2020-05-27,0,0
2020-05-28,0,0
2020-05-29,0,0
