Date,IncidenceOfStatin,PrevalenceOfStatin
2013-06-08,0,11
2013-06-09,0,5
2013-06-10,10,1009
2013-06-11,8,784
2013-06-12,2,703
2013-06-13,2,621
2013-06-14,3,622
2013-06-15,0,4
2013-06-16,0,9
2013-06-17,11,1011
2013-06-18,5,809
2013-06-19,5,706
2013-06-20,9,687
2013-06-21,14,631
2013-06-22,0,27
2013-06-23,0,8
2013-06-24,11,1046
2013-06-25,4,816
2013-06-26,8,726
2013-06-27,5,669
2013-06-28,5,616
2013-06-29,0,18
2013-06-30,0,10
2013-07-01,11,970
2013-07-02,10,835
2013-07-03,8,735
2013-07-04,12,673
2013-07-05,8,617
2013-07-06,0,4
2013-07-07,0,8
2013-07-08,6,1026
2013-07-09,8,791
2013-07-10,6,714
2013-07-11,9,678
2013-07-12,6,603
2013-07-13,0,8
2013-07-14,0,5
2013-07-15,10,1015
2013-07-16,5,875
2013-07-17,6,786
2013-07-18,2,693
2013-07-19,9,615
2013-07-20,0,7
2013-07-21,0,4
2013-07-22,7,1057
2013-07-23,6,890
2013-07-24,4,809
2013-07-25,9,685
2013-07-26,7,574
2013-07-27,0,4
2013-07-28,0,3
2013-07-29,9,1017
2013-07-30,7,864
2013-07-31,8,735
2013-08-01,8,662
2013-08-02,7,657
2013-08-03,0,21
2013-08-04,0,6
2013-08-05,9,1028
2013-08-06,8,825
2013-08-07,4,763
2013-08-08,5,625
2013-08-09,7,605
2013-08-10,0,5
2013-08-11,0,7
2013-08-12,11,1034
2013-08-13,2,834
2013-08-14,4,713
2013-08-15,7,712
2013-08-16,5,578
2013-08-17,0,4
2013-08-18,0,7
2013-08-19,6,1004
2013-08-20,4,872
2013-08-21,9,827
2013-08-22,9,738
2013-08-23,4,679
2013-08-24,0,10
2013-08-25,0,8
2013-08-26,0,159
2013-08-27,4,1176
2013-08-28,7,920
2013-08-29,5,705
2013-08-30,8,700
2013-08-31,0,16
2013-09-01,0,7
2013-09-02,7,1036
2013-09-03,6,802
2013-09-04,5,732
2013-09-05,1,695
2013-09-06,7,592
2013-09-07,0,5
2013-09-08,1,5
2013-09-09,4,981
2013-09-10,5,852
2013-09-11,8,724
2013-09-12,8,695
2013-09-13,4,633
2013-09-14,0,6
2013-09-15,0,5
2013-09-16,5,1060
2013-09-17,11,842
2013-09-18,6,775
2013-09-19,5,632
2013-09-20,3,634
2013-09-21,0,7
2013-09-22,0,4
2013-09-23,10,1143
2013-09-24,10,825
2013-09-25,4,773
2013-09-26,6,684
2013-09-27,3,635
2013-09-28,0,15
2013-09-29,0,8
2013-09-30,14,1007
2013-10-01,6,846
2013-10-02,9,775
2013-10-03,8,651
2013-10-04,6,649
2013-10-05,0,14
2013-10-06,0,5
2013-10-07,2,1011
2013-10-08,6,812
2013-10-09,7,727
2013-10-10,5,675
2013-10-11,3,627
2013-10-12,0,13
2013-10-13,0,4
2013-10-14,10,1027
2013-10-15,5,828
2013-10-16,5,700
2013-10-17,8,704
2013-10-18,8,641
2013-10-19,0,20
2013-10-20,0,6
2013-10-21,7,996
2013-10-22,12,856
2013-10-23,8,811
2013-10-24,6,676
2013-10-25,8,644
2013-10-26,0,10
2013-10-27,0,6
2013-10-28,6,1057
2013-10-29,8,852
2013-10-30,5,752
2013-10-31,5,638
2013-11-01,3,570
2013-11-02,0,16
2013-11-03,0,5
2013-11-04,5,1072
2013-11-05,2,903
2013-11-06,5,745
2013-11-07,8,706
2013-11-08,8,642
2013-11-09,0,11
2013-11-10,0,19
2013-11-11,7,992
2013-11-12,5,841
2013-11-13,7,790
2013-11-14,6,686
2013-11-15,8,658
2013-11-16,0,13
2013-11-17,0,7
2013-11-18,8,1002
2013-11-19,8,838
2013-11-20,5,778
2013-11-21,9,719
2013-11-22,9,619
2013-11-23,0,9
2013-11-24,0,6
2013-11-25,10,1109
2013-11-26,3,876
2013-11-27,7,765
2013-11-28,5,678
2013-11-29,9,688
2013-11-30,0,12
2013-12-01,0,10
2013-12-02,13,1025
2013-12-03,4,910
2013-12-04,6,856
2013-12-05,5,689
2013-12-06,10,652
2013-12-07,0,11
2013-12-08,0,9
2013-12-09,10,1089
2013-12-10,9,1007
2013-12-11,6,831
2013-12-12,7,823
2013-12-13,14,882
2013-12-14,0,12
2013-12-15,0,10
2013-12-16,7,1295
2013-12-17,12,1194
2013-12-18,6,1022
2013-12-19,9,944
2013-12-20,8,758
2013-12-21,0,13
2013-12-22,0,13
2013-12-23,10,1025
2013-12-24,6,525
2013-12-25,0,141
2013-12-26,0,163
2013-12-27,3,645
2013-12-28,0,11
2013-12-29,0,11
2013-12-30,5,1026
2013-12-31,6,720
2014-01-01,0,111
2014-01-02,8,745
2014-01-03,8,755
2014-01-04,0,13
2014-01-05,0,12
2014-01-06,9,1111
2014-01-07,6,969
2014-01-08,8,698
2014-01-09,5,783
2014-01-10,7,762
2014-01-11,0,14
2014-01-12,0,12
2014-01-13,3,1063
2014-01-14,5,979
2014-01-15,11,780
2014-01-16,6,679
2014-01-17,11,710
2014-01-18,0,14
2014-01-19,0,11
2014-01-20,6,1101
2014-01-21,8,894
2014-01-22,11,669
2014-01-23,1,658
2014-01-24,6,644
2014-01-25,0,8
2014-01-26,0,10
2014-01-27,13,944
2014-01-28,7,882
2014-01-29,4,712
2014-01-30,7,675
2014-01-31,6,663
2014-02-01,0,8
2014-02-02,0,8
2014-02-03,3,1069
2014-02-04,11,927
2014-02-05,6,794
2014-02-06,7,767
2014-02-07,8,741
2014-02-08,0,8
2014-02-09,0,9
2014-02-10,11,1105
2014-02-11,8,934
2014-02-12,3,725
2014-02-13,11,661
2014-02-14,7,678
2014-02-15,0,7
2014-02-16,0,6
2014-02-17,9,1069
2014-02-18,10,916
2014-02-19,5,709
2014-02-20,6,686
2014-02-21,6,657
2014-02-22,0,14
2014-02-23,0,6
2014-02-24,6,966
2014-02-25,4,889
2014-02-26,7,700
2014-02-27,14,696
2014-02-28,11,741
2014-03-01,0,9
2014-03-02,0,7
2014-03-03,6,1005
2014-03-04,8,1034
2014-03-05,7,803
2014-03-06,7,773
2014-03-07,13,733
2014-03-08,0,10
2014-03-09,0,8
2014-03-10,14,1091
2014-03-11,3,855
2014-03-12,5,749
2014-03-13,10,661
2014-03-14,15,728
2014-03-15,0,8
2014-03-16,0,5
2014-03-17,8,1120
2014-03-18,7,919
2014-03-19,7,750
2014-03-20,10,660
2014-03-21,3,703
2014-03-22,0,6
2014-03-23,0,12
2014-03-24,9,1050
2014-03-25,7,877
2014-03-26,5,777
2014-03-27,6,705
2014-03-28,7,742
2014-03-29,0,7
2014-03-30,0,9
2014-03-31,14,1071
2014-04-01,8,919
2014-04-02,9,756
2014-04-03,4,765
2014-04-04,8,710
2014-04-05,0,7
2014-04-06,0,8
2014-04-07,4,1125
2014-04-08,8,917
2014-04-09,7,820
2014-04-10,12,719
2014-04-11,5,717
2014-04-12,0,16
2014-04-13,0,6
2014-04-14,10,1127
2014-04-15,6,1076
2014-04-16,7,867
2014-04-17,6,772
2014-04-18,0,160
2014-04-19,0,9
2014-04-20,0,5
2014-04-21,0,211
2014-04-22,5,1250
2014-04-23,2,1062
2014-04-24,5,793
2014-04-25,6,849
2014-04-26,0,14
2014-04-27,0,6
2014-04-28,13,1149
2014-04-29,4,991
2014-04-30,7,898
2014-05-01,12,803
2014-05-02,4,795
2014-05-03,0,11
2014-05-04,0,13
2014-05-05,0,196
2014-05-06,5,1180
2014-05-07,3,1019
2014-05-08,13,898
2014-05-09,4,743
2014-05-10,0,15
2014-05-11,0,7
2014-05-12,13,1035
2014-05-13,8,908
2014-05-14,6,776
2014-05-15,9,680
2014-05-16,11,727
2014-05-17,0,15
2014-05-18,0,7
2014-05-19,6,1072
2014-05-20,8,1036
2014-05-21,6,871
2014-05-22,7,844
2014-05-23,7,765
2014-05-24,1,18
2014-05-25,0,7
2014-05-26,0,174
2014-05-27,10,1174
2014-05-28,11,1068
2014-05-29,4,911
2014-05-30,7,743
2014-05-31,1,15
2014-06-01,0,13
2014-06-02,10,1081
2014-06-03,6,1013
2014-06-04,5,802
2014-06-05,6,696
2014-06-06,3,687
2014-06-07,0,18
2014-06-08,0,9
2014-06-09,9,1074
2014-06-10,3,917
2014-06-11,8,766
2014-06-12,6,707
2014-06-13,5,673
2014-06-14,0,22
2014-06-15,0,6
2014-06-16,5,1007
2014-06-17,8,925
2014-06-18,2,794
2014-06-19,8,750
2014-06-20,9,718
2014-06-21,0,19
2014-06-22,0,7
2014-06-23,7,1031
2014-06-24,7,998
2014-06-25,3,758
2014-06-26,7,774
2014-06-27,5,706
2014-06-28,0,24
2014-06-29,0,6
2014-06-30,5,1150
2014-07-01,7,946
2014-07-02,4,773
2014-07-03,10,721
2014-07-04,6,690
2014-07-05,0,18
2014-07-06,0,6
2014-07-07,8,1115
2014-07-08,6,957
2014-07-09,10,770
2014-07-10,4,680
2014-07-11,9,714
2014-07-12,1,15
2014-07-13,0,3
2014-07-14,5,1114
2014-07-15,7,924
2014-07-16,7,787
2014-07-17,8,776
2014-07-18,10,667
2014-07-19,0,15
2014-07-20,0,4
2014-07-21,11,1139
2014-07-22,7,1014
2014-07-23,2,782
2014-07-24,8,722
2014-07-25,9,710
2014-07-26,0,17
2014-07-27,0,8
2014-07-28,10,1093
2014-07-29,10,968
2014-07-30,6,780
2014-07-31,8,793
2014-08-01,6,713
2014-08-02,0,10
2014-08-03,0,8
2014-08-04,10,1096
2014-08-05,5,863
2014-08-06,3,756
2014-08-07,3,773
2014-08-08,6,668
2014-08-09,0,14
2014-08-10,0,6
2014-08-11,6,1102
2014-08-12,7,1008
2014-08-13,5,776
2014-08-14,13,791
2014-08-15,2,717
2014-08-16,0,10
2014-08-17,0,5
2014-08-18,8,1112
2014-08-19,9,1007
2014-08-20,5,899
2014-08-21,3,867
2014-08-22,4,676
2014-08-23,0,12
2014-08-24,0,6
2014-08-25,0,214
2014-08-26,6,1159
2014-08-27,3,1084
2014-08-28,6,831
2014-08-29,7,721
2014-08-30,0,8
2014-08-31,0,4
2014-09-01,11,1045
2014-09-02,12,1045
2014-09-03,2,853
2014-09-04,4,820
2014-09-05,4,690
2014-09-06,0,9
2014-09-07,0,4
2014-09-08,7,1112
2014-09-09,5,934
2014-09-10,4,826
2014-09-11,8,791
2014-09-12,10,683
2014-09-13,0,6
2014-09-14,0,6
2014-09-15,5,1178
2014-09-16,11,1000
2014-09-17,11,787
2014-09-18,7,730
2014-09-19,6,695
2014-09-20,0,4
2014-09-21,0,4
2014-09-22,7,1188
2014-09-23,10,998
2014-09-24,4,818
2014-09-25,3,693
2014-09-26,4,665
2014-09-27,0,2
2014-09-28,0,4
2014-09-29,4,1123
2014-09-30,8,921
2014-10-01,5,802
2014-10-02,2,765
2014-10-03,4,669
2014-10-04,0,14
2014-10-05,0,14
2014-10-06,7,1119
2014-10-07,9,998
2014-10-08,4,761
2014-10-09,12,825
2014-10-10,6,747
2014-10-11,0,14
2014-10-12,0,13
2014-10-13,9,1062
2014-10-14,10,982
2014-10-15,4,826
2014-10-16,4,725
2014-10-17,9,768
2014-10-18,0,8
2014-10-19,0,20
2014-10-20,8,1071
2014-10-21,7,992
2014-10-22,7,843
2014-10-23,4,742
2014-10-24,7,746
2014-10-25,0,12
2014-10-26,0,13
2014-10-27,8,1096
2014-10-28,6,1006
2014-10-29,3,809
2014-10-30,8,724
2014-10-31,5,725
2014-11-01,0,8
2014-11-02,0,9
2014-11-03,9,1123
2014-11-04,5,1020
2014-11-05,11,762
2014-11-06,4,735
2014-11-07,5,776
2014-11-08,0,7
2014-11-09,0,9
2014-11-10,16,1145
2014-11-11,8,1011
2014-11-12,4,840
2014-11-13,8,745
2014-11-14,11,723
2014-11-15,0,7
2014-11-16,0,11
2014-11-17,12,1131
2014-11-18,4,1025
2014-11-19,10,764
2014-11-20,9,774
2014-11-21,9,774
2014-11-22,0,4
2014-11-23,0,10
2014-11-24,11,1126
2014-11-25,5,1034
2014-11-26,10,843
2014-11-27,10,745
2014-11-28,9,698
2014-11-29,0,7
2014-11-30,0,11
2014-12-01,7,1202
2014-12-02,4,1039
2014-12-03,4,759
2014-12-04,12,803
2014-12-05,5,763
2014-12-06,0,11
2014-12-07,0,17
2014-12-08,13,1241
2014-12-09,7,1109
2014-12-10,4,983
2014-12-11,7,965
2014-12-12,11,804
2014-12-13,0,11
2014-12-14,0,4
2014-12-15,11,1397
2014-12-16,7,1289
2014-12-17,6,1152
2014-12-18,2,953
2014-12-19,5,909
2014-12-20,0,6
2014-12-21,0,13
2014-12-22,5,1201
2014-12-23,11,958
2014-12-24,6,535
2014-12-25,0,144
2014-12-26,0,163
2014-12-27,0,9
2014-12-28,0,4
2014-12-29,5,1191
2014-12-30,6,860
2014-12-31,2,583
2015-01-01,0,104
2015-01-02,3,777
2015-01-03,0,8
2015-01-04,0,6
2015-01-05,12,1333
2015-01-06,10,1148
2015-01-07,8,837
2015-01-08,7,763
2015-01-09,6,788
2015-01-10,0,9
2015-01-11,0,3
2015-01-12,12,1311
2015-01-13,10,1106
2015-01-14,2,795
2015-01-15,7,705
2015-01-16,6,727
2015-01-17,0,9
2015-01-18,0,4
2015-01-19,3,1161
2015-01-20,12,1016
2015-01-21,6,692
2015-01-22,4,685
2015-01-23,12,736
2015-01-24,0,6
2015-01-25,0,2
2015-01-26,7,1105
2015-01-27,12,1015
2015-01-28,3,713
2015-01-29,8,708
2015-01-30,6,754
2015-01-31,0,3
2015-02-01,0,3
2015-02-02,5,1249
2015-02-03,6,1064
2015-02-04,4,843
2015-02-05,7,784
2015-02-06,5,783
2015-02-07,0,4
2015-02-08,0,2
2015-02-09,5,1216
2015-02-10,5,1037
2015-02-11,8,890
2015-02-12,11,766
2015-02-13,8,712
2015-02-14,0,6
2015-02-15,0,3
2015-02-16,11,1193
2015-02-17,5,1015
2015-02-18,4,764
2015-02-19,12,723
2015-02-20,4,705
2015-02-21,0,9
2015-02-22,0,3
2015-02-23,8,1187
2015-02-24,4,1046
2015-02-25,9,801
2015-02-26,4,690
2015-02-27,8,838
2015-02-28,0,9
2015-03-01,0,2
2015-03-02,6,1163
2015-03-03,6,1027
2015-03-04,9,837
2015-03-05,7,714
2015-03-06,8,799
2015-03-07,0,3
2015-03-08,0,3
2015-03-09,6,1194
2015-03-10,5,1160
2015-03-11,6,799
2015-03-12,7,716
2015-03-13,9,693
2015-03-14,0,10
2015-03-15,0,3
2015-03-16,12,1256
2015-03-17,9,1032
2015-03-18,11,815
2015-03-19,9,734
2015-03-20,6,749
2015-03-21,0,6
2015-03-22,0,2
2015-03-23,4,1309
2015-03-24,7,1093
2015-03-25,7,846
2015-03-26,18,817
2015-03-27,6,766
2015-03-28,0,8
2015-03-29,0,3
2015-03-30,9,1366
2015-03-31,8,1152
2015-04-01,11,824
2015-04-02,10,821
2015-04-03,0,181
2015-04-04,0,6
2015-04-05,0,4
2015-04-06,0,283
2015-04-07,6,1385
2015-04-08,6,1122
2015-04-09,7,977
2015-04-10,6,757
2015-04-11,1,13
2015-04-12,0,2
2015-04-13,12,1154
2015-04-14,13,1096
2015-04-15,9,837
2015-04-16,8,756
2015-04-17,5,807
2015-04-18,0,4
2015-04-19,0,4
2015-04-20,10,1210
2015-04-21,7,1093
2015-04-22,6,822
2015-04-23,5,806
2015-04-24,9,765
2015-04-25,0,5
2015-04-26,0,3
2015-04-27,8,1267
2015-04-28,5,1075
2015-04-29,2,873
2015-04-30,8,826
2015-05-01,4,785
2015-05-02,0,5
2015-05-03,0,4
2015-05-04,0,272
2015-05-05,8,1330
2015-05-06,10,1008
2015-05-07,8,878
2015-05-08,7,739
2015-05-09,0,10
2015-05-10,0,4
2015-05-11,4,1227
2015-05-12,4,1013
2015-05-13,7,837
2015-05-14,4,861
2015-05-15,7,732
2015-05-16,0,6
2015-05-17,0,4
2015-05-18,9,1319
2015-05-19,11,1144
2015-05-20,10,865
2015-05-21,6,915
2015-05-22,7,796
2015-05-23,0,5
2015-05-24,0,4
2015-05-25,0,238
2015-05-26,6,1427
2015-05-27,9,1129
2015-05-28,10,849
2015-05-29,8,735
2015-05-30,0,7
2015-05-31,0,3
2015-06-01,6,1143
2015-06-02,8,1101
2015-06-03,6,880
2015-06-04,9,855
2015-06-05,7,799
2015-06-06,0,4
2015-06-07,0,5
2015-06-08,6,1193
2015-06-09,7,996
2015-06-10,7,846
2015-06-11,5,805
2015-06-12,3,745
2015-06-13,0,12
2015-06-14,0,8
2015-06-15,1,1198
2015-06-16,9,1041
2015-06-17,3,769
2015-06-18,5,787
2015-06-19,9,805
2015-06-20,1,8
2015-06-21,0,4
2015-06-22,7,1218
2015-06-23,9,1136
2015-06-24,6,904
2015-06-25,7,764
2015-06-26,9,800
2015-06-27,0,4
2015-06-28,0,4
2015-06-29,8,1206
2015-06-30,8,1075
2015-07-01,7,774
2015-07-02,7,763
2015-07-03,6,803
2015-07-04,0,5
2015-07-05,0,4
2015-07-06,11,1163
2015-07-07,5,1111
2015-07-08,5,807
2015-07-09,6,817
2015-07-10,5,733
2015-07-11,0,10
2015-07-12,0,8
2015-07-13,5,1272
2015-07-14,8,1089
2015-07-15,6,854
2015-07-16,8,799
2015-07-17,9,829
2015-07-18,0,7
2015-07-19,0,5
2015-07-20,12,1245
2015-07-21,14,1106
2015-07-22,6,846
2015-07-23,8,755
2015-07-24,6,838
2015-07-25,0,3
2015-07-26,0,4
2015-07-27,2,1175
2015-07-28,5,1111
2015-07-29,8,869
2015-07-30,10,781
2015-07-31,10,755
2015-08-01,0,3
2015-08-02,0,5
2015-08-03,9,1194
2015-08-04,17,1104
2015-08-05,6,835
2015-08-06,6,748
2015-08-07,8,829
2015-08-08,0,4
2015-08-09,0,7
2015-08-10,8,1257
2015-08-11,9,1124
2015-08-12,10,867
2015-08-13,4,782
2015-08-14,7,772
2015-08-15,1,7
2015-08-16,0,5
2015-08-17,9,1355
2015-08-18,13,1160
2015-08-19,6,867
2015-08-20,7,820
2015-08-21,9,808
2015-08-22,0,5
2015-08-23,0,8
2015-08-24,3,1366
2015-08-25,3,1095
2015-08-26,9,920
2015-08-27,9,789
2015-08-28,6,825
2015-08-29,1,8
2015-08-30,0,9
2015-08-31,0,305
2015-09-01,8,1319
2015-09-02,5,998
2015-09-03,6,908
2015-09-04,8,882
2015-09-05,0,14
2015-09-06,0,13
2015-09-07,8,1194
2015-09-08,7,1032
2015-09-09,5,940
2015-09-10,3,897
2015-09-11,8,765
2015-09-12,0,23
2015-09-13,1,16
2015-09-14,10,1164
2015-09-15,3,1042
2015-09-16,5,861
2015-09-17,8,890
2015-09-18,10,837
2015-09-19,0,16
2015-09-20,0,27
2015-09-21,8,1112
2015-09-22,5,1023
2015-09-23,10,987
2015-09-24,9,869
2015-09-25,5,751
2015-09-26,0,10
2015-09-27,0,21
2015-09-28,5,1139
2015-09-29,6,1112
2015-09-30,9,818
2015-10-01,8,842
2015-10-02,2,769
2015-10-03,0,11
2015-10-04,0,19
2015-10-05,8,1184
2015-10-06,9,1152
2015-10-07,7,860
2015-10-08,6,885
2015-10-09,9,801
2015-10-10,0,5
2015-10-11,0,20
2015-10-12,8,1265
2015-10-13,11,1093
2015-10-14,10,884
2015-10-15,4,845
2015-10-16,10,777
2015-10-17,0,11
2015-10-18,0,18
2015-10-19,8,1255
2015-10-20,11,989
2015-10-21,5,889
2015-10-22,6,800
2015-10-23,10,780
2015-10-24,0,13
2015-10-25,0,17
2015-10-26,5,1355
2015-10-27,4,1052
2015-10-28,9,832
2015-10-29,3,780
2015-10-30,8,815
2015-10-31,0,4
2015-11-01,0,20
2015-11-02,8,1349
2015-11-03,7,1020
2015-11-04,7,904
2015-11-05,8,877
2015-11-06,8,827
2015-11-07,1,15
2015-11-08,0,18
2015-11-09,7,1195
2015-11-10,2,1072
2015-11-11,5,890
2015-11-12,8,884
2015-11-13,8,795
2015-11-14,0,7
2015-11-15,0,9
2015-11-16,4,1223
2015-11-17,8,1200
2015-11-18,3,914
2015-11-19,10,800
2015-11-20,10,796
2015-11-21,0,24
2015-11-22,0,10
2015-11-23,8,1372
2015-11-24,7,1030
2015-11-25,6,823
2015-11-26,15,843
2015-11-27,7,783
2015-11-28,0,16
2015-11-29,0,10
2015-11-30,9,1344
2015-12-01,9,1130
2015-12-02,9,915
2015-12-03,7,879
2015-12-04,17,884
2015-12-05,1,12
2015-12-06,0,22
2015-12-07,3,1378
2015-12-08,6,1232
2015-12-09,5,932
2015-12-10,5,878
2015-12-11,10,926
2015-12-12,0,14
2015-12-13,0,15
2015-12-14,11,1663
2015-12-15,12,1375
2015-12-16,7,1136
2015-12-17,10,1047
2015-12-18,5,1097
2015-12-19,0,16
2015-12-20,0,15
2015-12-21,7,1568
2015-12-22,9,1055
2015-12-23,8,711
2015-12-24,3,629
2015-12-25,0,188
2015-12-26,0,1
2015-12-27,0,13
2015-12-28,0,364
2015-12-29,8,1148
2015-12-30,2,811
2015-12-31,4,705
2016-01-01,0,161
2016-01-02,0,6
2016-01-03,0,11
2016-01-04,8,1370
2016-01-05,4,1166
2016-01-06,11,980
2016-01-07,4,964
2016-01-08,5,821
2016-01-09,0,11
2016-01-10,0,10
2016-01-11,2,1365
2016-01-12,5,1234
2016-01-13,7,974
2016-01-14,7,876
2016-01-15,12,743
2016-01-16,1,19
2016-01-17,0,18
2016-01-18,12,1356
2016-01-19,5,1149
2016-01-20,6,852
2016-01-21,3,792
2016-01-22,6,746
2016-01-23,1,10
2016-01-24,0,11
2016-01-25,13,1238
2016-01-26,5,1047
2016-01-27,4,880
2016-01-28,9,788
2016-01-29,6,772
2016-01-30,0,9
2016-01-31,0,9
2016-02-01,12,1330
2016-02-02,9,1144
2016-02-03,10,912
2016-02-04,11,857
2016-02-05,9,827
2016-02-06,0,5
2016-02-07,0,12
2016-02-08,14,1361
2016-02-09,7,1217
2016-02-10,7,874
2016-02-11,10,833
2016-02-12,7,879
2016-02-13,0,7
2016-02-14,0,11
2016-02-15,5,1320
2016-02-16,8,1016
2016-02-17,10,877
2016-02-18,10,819
2016-02-19,6,818
2016-02-20,0,19
2016-02-21,0,10
2016-02-22,12,1221
2016-02-23,3,1094
2016-02-24,9,872
2016-02-25,9,816
2016-02-26,4,813
2016-02-27,1,17
2016-02-28,0,11
2016-02-29,10,1361
2016-03-01,10,1090
2016-03-02,10,931
2016-03-03,13,907
2016-03-04,9,827
2016-03-05,0,30
2016-03-06,0,12
2016-03-07,9,1420
2016-03-08,13,1081
2016-03-09,4,954
2016-03-10,8,888
2016-03-11,16,797
2016-03-12,0,13
2016-03-13,0,6
2016-03-14,10,1385
2016-03-15,12,1108
2016-03-16,7,858
2016-03-17,7,926
2016-03-18,12,933
2016-03-19,1,26
2016-03-20,0,7
2016-03-21,20,1446
2016-03-22,10,1233
2016-03-23,10,989
2016-03-24,10,967
2016-03-25,0,224
2016-03-26,0,6
2016-03-27,0,7
2016-03-28,0,349
2016-03-29,10,1519
2016-03-30,12,1182
2016-03-31,8,954
2016-04-01,13,841
2016-04-02,0,9
2016-04-03,0,6
2016-04-04,14,1427
2016-04-05,9,1207
2016-04-06,10,1016
2016-04-07,7,877
2016-04-08,5,773
2016-04-09,0,6
2016-04-10,0,6
2016-04-11,12,1380
2016-04-12,7,1132
2016-04-13,6,996
2016-04-14,7,823
2016-04-15,7,786
2016-04-16,0,9
2016-04-17,0,11
2016-04-18,9,1264
2016-04-19,9,1086
2016-04-20,7,964
2016-04-21,10,820
2016-04-22,7,798
2016-04-23,0,8
2016-04-24,0,9
2016-04-25,11,1429
2016-04-26,5,1137
2016-04-27,11,1005
2016-04-28,6,817
2016-04-29,8,981
2016-04-30,0,10
2016-05-01,0,3
2016-05-02,0,368
2016-05-03,14,1580
2016-05-04,6,1195
2016-05-05,15,962
2016-05-06,12,947
2016-05-07,0,5
2016-05-08,0,5
2016-05-09,6,1350
2016-05-10,4,1112
2016-05-11,12,975
2016-05-12,8,804
2016-05-13,15,865
2016-05-14,1,5
2016-05-15,0,3
2016-05-16,14,1265
2016-05-17,12,1195
2016-05-18,13,870
2016-05-19,6,785
2016-05-20,5,948
2016-05-21,0,7
2016-05-22,0,5
2016-05-23,12,1367
2016-05-24,14,1150
2016-05-25,5,976
2016-05-26,7,994
2016-05-27,11,950
2016-05-28,0,6
2016-05-29,0,3
2016-05-30,0,355
2016-05-31,5,1481
2016-06-01,7,1149
2016-06-02,8,1039
2016-06-03,13,1024
2016-06-04,0,4
2016-06-05,0,2
2016-06-06,12,1295
2016-06-07,10,1169
2016-06-08,6,910
2016-06-09,8,843
2016-06-10,11,902
2016-06-11,0,2
2016-06-12,0,3
2016-06-13,10,1217
2016-06-14,6,1089
2016-06-15,4,977
2016-06-16,7,817
2016-06-17,6,874
2016-06-18,0,2
2016-06-19,0,0
2016-06-20,12,1263
2016-06-21,11,1241
2016-06-22,9,925
2016-06-23,12,906
2016-06-24,13,905
2016-06-25,0,5
2016-06-26,0,2
2016-06-27,6,1276
2016-06-28,13,1171
2016-06-29,7,978
2016-06-30,8,873
2016-07-01,5,881
2016-07-02,0,5
2016-07-03,0,4
2016-07-04,7,1424
2016-07-05,5,1135
2016-07-06,13,961
2016-07-07,3,854
2016-07-08,6,916
2016-07-09,0,2
2016-07-10,0,2
2016-07-11,11,1302
2016-07-12,13,1144
2016-07-13,9,929
2016-07-14,13,869
2016-07-15,11,1013
2016-07-16,0,4
2016-07-17,0,1
2016-07-18,6,1315
2016-07-19,7,1072
2016-07-20,9,886
2016-07-21,11,906
2016-07-22,3,926
2016-07-23,0,14
2016-07-24,0,3
2016-07-25,6,1389
2016-07-26,18,1116
2016-07-27,9,1005
2016-07-28,6,864
2016-07-29,7,1028
2016-07-30,0,4
2016-07-31,0,7
2016-08-01,9,1311
2016-08-02,7,1075
2016-08-03,7,886
2016-08-04,11,908
2016-08-05,6,935
2016-08-06,0,2
2016-08-07,0,1
2016-08-08,8,1299
2016-08-09,12,1080
2016-08-10,5,915
2016-08-11,8,892
2016-08-12,8,980
2016-08-13,0,8
2016-08-14,0,6
2016-08-15,8,1379
2016-08-16,8,1097
2016-08-17,8,922
2016-08-18,8,886
2016-08-19,8,987
2016-08-20,0,9
2016-08-21,0,6
2016-08-22,8,1500
2016-08-23,12,1162
2016-08-24,7,1001
2016-08-25,6,953
2016-08-26,11,1033
2016-08-27,0,12
2016-08-28,0,4
2016-08-29,0,370
2016-08-30,12,1451
2016-08-31,13,1109
2016-09-01,7,1039
2016-09-02,10,1017
2016-09-03,0,25
2016-09-04,0,4
2016-09-05,13,1347
2016-09-06,14,1156
2016-09-07,9,913
2016-09-08,10,858
2016-09-09,6,957
2016-09-10,0,24
2016-09-11,0,4
2016-09-12,10,1288
2016-09-13,8,1154
2016-09-14,6,922
2016-09-15,10,973
2016-09-16,8,958
2016-09-17,0,13
2016-09-18,0,3
2016-09-19,10,1369
2016-09-20,8,1081
2016-09-21,11,1067
2016-09-22,14,898
2016-09-23,12,899
2016-09-24,0,43
2016-09-25,0,7
2016-09-26,9,1378
2016-09-27,9,1101
2016-09-28,9,973
2016-09-29,4,862
2016-09-30,6,892
2016-10-01,0,25
2016-10-02,0,2
2016-10-03,5,1397
2016-10-04,6,1129
2016-10-05,13,1009
2016-10-06,6,902
2016-10-07,13,908
2016-10-08,0,13
2016-10-09,0,3
2016-10-10,9,1318
2016-10-11,15,1168
2016-10-12,9,1007
2016-10-13,8,855
2016-10-14,12,905
2016-10-15,0,25
2016-10-16,0,21
2016-10-17,9,1422
2016-10-18,6,1141
2016-10-19,6,1059
2016-10-20,10,925
2016-10-21,11,927
2016-10-22,0,14
2016-10-23,0,1
2016-10-24,11,1473
2016-10-25,10,1054
2016-10-26,6,973
2016-10-27,7,923
2016-10-28,10,971
2016-10-29,0,26
2016-10-30,0,2
2016-10-31,10,1294
