Date,IncidenceOfRespiratory,PrevalenceOfRespiratory
2015-10-16,3,29
2015-10-17,0,0
2015-10-18,1,1
2015-10-19,5,36
2015-10-20,4,32
2015-10-21,5,18
2015-10-22,4,22
2015-10-23,2,18
2015-10-24,0,4
2015-10-25,0,0
2015-10-26,3,28
2015-10-27,10,32
2015-10-28,3,27
2015-10-29,6,27
2015-10-30,4,32
2015-10-31,0,0
2015-11-01,0,3
2015-11-02,5,26
2015-11-03,5,34
2015-11-04,6,29
2015-11-05,3,32
2015-11-06,7,29
2015-11-07,0,2
2015-11-08,0,4
2015-11-09,3,33
2015-11-10,7,32
2015-11-11,6,29
2015-11-12,4,28
2015-11-13,3,28
2015-11-14,0,0
2015-11-15,0,1
2015-11-16,3,35
2015-11-17,9,34
2015-11-18,5,32
2015-11-19,5,25
2015-11-20,5,18
2015-11-21,0,1
2015-11-22,0,0
2015-11-23,6,39
2015-11-24,6,37
2015-11-25,4,30
2015-11-26,3,27
2015-11-27,8,30
2015-11-28,0,1
2015-11-29,1,1
2015-11-30,6,36
2015-12-01,13,42
2015-12-02,6,24
2015-12-03,2,25
2015-12-04,4,36
2015-12-05,0,2
2015-12-06,0,1
2015-12-07,6,35
2015-12-08,6,42
2015-12-09,6,37
2015-12-10,9,30
2015-12-11,2,25
2015-12-12,0,1
2015-12-13,2,2
2015-12-14,5,35
2015-12-15,9,42
2015-12-16,3,32
2015-12-17,7,53
2015-12-18,2,20
2015-12-19,1,2
2015-12-20,0,3
2015-12-21,2,35
2015-12-22,4,32
2015-12-23,1,14
2015-12-24,2,17
2015-12-25,0,1
2015-12-26,0,1
2015-12-27,0,0
2015-12-28,1,3
2015-12-29,2,31
2015-12-30,1,34
2015-12-31,1,17
2016-01-01,20,49
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,2,60
2016-01-05,6,41
2016-01-06,4,33
2016-01-07,7,39
2016-01-08,2,24
2016-01-09,0,2
2016-01-10,0,1
2016-01-11,4,39
2016-01-12,8,45
2016-01-13,4,31
2016-01-14,8,35
2016-01-15,5,27
2016-01-16,0,2
2016-01-17,0,2
2016-01-18,7,43
2016-01-19,5,45
2016-01-20,4,19
2016-01-21,3,39
2016-01-22,2,21
2016-01-23,0,1
2016-01-24,1,2
2016-01-25,7,47
2016-01-26,3,26
2016-01-27,4,24
2016-01-28,4,20
2016-01-29,5,31
2016-01-30,0,1
2016-01-31,0,0
2016-02-01,10,58
2016-02-02,7,46
2016-02-03,2,22
2016-02-04,6,31
2016-02-05,4,31
2016-02-06,0,2
2016-02-07,0,0
2016-02-08,3,42
2016-02-09,4,36
2016-02-10,3,28
2016-02-11,3,19
2016-02-12,2,17
2016-02-13,0,0
2016-02-14,0,1
2016-02-15,4,31
2016-02-16,5,33
2016-02-17,1,26
2016-02-18,2,18
2016-02-19,2,19
2016-02-20,0,3
2016-02-21,0,1
2016-02-22,6,45
2016-02-23,5,32
2016-02-24,8,40
2016-02-25,5,36
2016-02-26,7,23
2016-02-27,1,1
2016-02-28,2,3
2016-02-29,5,38
2016-03-01,10,31
2016-03-02,2,20
2016-03-03,6,29
2016-03-04,4,15
2016-03-05,0,0
2016-03-06,1,1
2016-03-07,3,46
2016-03-08,3,38
2016-03-09,2,24
2016-03-10,7,25
2016-03-11,5,32
2016-03-12,0,2
2016-03-13,1,2
2016-03-14,10,41
2016-03-15,2,40
2016-03-16,8,29
2016-03-17,6,23
2016-03-18,4,29
2016-03-19,0,2
2016-03-20,1,1
2016-03-21,2,28
2016-03-22,7,34
2016-03-23,5,28
2016-03-24,3,23
2016-03-25,0,1
2016-03-26,0,1
2016-03-27,1,1
2016-03-28,0,1
2016-03-29,3,27
2016-03-30,4,37
2016-03-31,2,26
2016-04-01,3,24
2016-04-02,1,2
2016-04-03,0,1
2016-04-04,4,34
2016-04-05,4,24
2016-04-06,4,21
2016-04-07,5,20
2016-04-08,3,17
2016-04-09,0,1
2016-04-10,0,0
2016-04-11,3,33
2016-04-12,4,24
2016-04-13,5,27
2016-04-14,5,32
2016-04-15,3,19
2016-04-16,0,0
2016-04-17,0,0
2016-04-18,5,38
2016-04-19,2,21
2016-04-20,2,19
2016-04-21,8,28
2016-04-22,4,21
2016-04-23,0,1
2016-04-24,0,0
2016-04-25,9,40
2016-04-26,6,25
2016-04-27,3,18
2016-04-28,6,23
2016-04-29,4,19
2016-04-30,0,2
2016-05-01,0,2
2016-05-02,0,0
2016-05-03,9,38
2016-05-04,3,30
2016-05-05,1,17
2016-05-06,6,28
2016-05-07,1,1
2016-05-08,0,0
2016-05-09,3,39
2016-05-10,5,34
2016-05-11,3,30
2016-05-12,9,37
2016-05-13,6,19
2016-05-14,0,0
2016-05-15,0,1
2016-05-16,5,28
2016-05-17,3,30
2016-05-18,1,21
2016-05-19,3,21
2016-05-20,8,24
2016-05-21,0,1
2016-05-22,0,0
2016-05-23,6,28
2016-05-24,7,39
2016-05-25,2,15
2016-05-26,10,28
2016-05-27,4,25
2016-05-28,0,1
2016-05-29,0,0
2016-05-30,0,1
2016-05-31,5,33
2016-06-01,6,25
2016-06-02,5,29
2016-06-03,2,17
2016-06-04,1,2
2016-06-05,0,0
2016-06-06,6,39
2016-06-07,2,24
2016-06-08,7,37
2016-06-09,2,25
2016-06-10,3,19
2016-06-11,1,1
2016-06-12,0,2
2016-06-13,2,32
2016-06-14,4,28
2016-06-15,3,20
2016-06-16,11,41
2016-06-17,5,23
2016-06-18,0,1
2016-06-19,0,0
2016-06-20,5,35
2016-06-21,6,33
2016-06-22,0,19
2016-06-23,3,21
2016-06-24,3,19
2016-06-25,1,3
2016-06-26,1,1
2016-06-27,3,23
2016-06-28,7,23
2016-06-29,5,24
2016-06-30,3,26
2016-07-01,6,28
2016-07-02,0,1
2016-07-03,0,0
2016-07-04,3,39
2016-07-05,4,32
2016-07-06,1,25
2016-07-07,0,21
2016-07-08,2,19
2016-07-09,0,0
2016-07-10,0,1
2016-07-11,3,26
2016-07-12,2,20
2016-07-13,2,26
2016-07-14,4,26
2016-07-15,5,23
2016-07-16,0,0
2016-07-17,1,4
2016-07-18,2,25
2016-07-19,5,29
2016-07-20,2,22
2016-07-21,6,30
2016-07-22,5,17
2016-07-23,0,3
2016-07-24,0,1
2016-07-25,7,48
2016-07-26,1,33
2016-07-27,4,24
2016-07-28,1,28
2016-07-29,8,29
2016-07-30,0,1
2016-07-31,0,0
2016-08-01,5,28
2016-08-02,1,31
2016-08-03,2,13
2016-08-04,6,22
2016-08-05,2,9
2016-08-06,0,1
2016-08-07,1,1
2016-08-08,4,32
2016-08-09,4,25
2016-08-10,6,22
2016-08-11,3,22
2016-08-12,1,22
2016-08-13,1,1
2016-08-14,0,0
2016-08-15,2,30
2016-08-16,8,23
2016-08-17,5,33
2016-08-18,5,26
2016-08-19,3,21
2016-08-20,0,0
2016-08-21,0,2
2016-08-22,4,22
2016-08-23,5,23
2016-08-24,4,24
2016-08-25,6,33
2016-08-26,1,18
2016-08-27,0,0
2016-08-28,0,0
2016-08-29,0,1
2016-08-30,2,30
2016-08-31,6,24
2016-09-01,7,33
2016-09-02,4,26
2016-09-03,0,1
2016-09-04,0,1
2016-09-05,7,28
2016-09-06,3,19
2016-09-07,1,20
2016-09-08,1,25
2016-09-09,5,18
2016-09-10,1,1
2016-09-11,0,0
2016-09-12,4,31
2016-09-13,3,32
2016-09-14,7,23
2016-09-15,4,34
2016-09-16,3,22
2016-09-17,0,0
2016-09-18,0,0
2016-09-19,8,35
2016-09-20,5,28
2016-09-21,4,23
2016-09-22,7,25
2016-09-23,1,17
2016-09-24,0,2
2016-09-25,0,1
2016-09-26,5,32
2016-09-27,5,40
2016-09-28,6,28
2016-09-29,3,38
2016-09-30,2,13
2016-10-01,0,1
2016-10-02,0,0
2016-10-03,7,43
2016-10-04,3,37
2016-10-05,9,42
2016-10-06,4,29
2016-10-07,1,16
2016-10-08,1,5
2016-10-09,0,1
2016-10-10,4,30
2016-10-11,1,26
2016-10-12,6,42
2016-10-13,6,17
2016-10-14,4,19
2016-10-15,2,6
2016-10-16,0,0
2016-10-17,1,44
2016-10-18,5,35
2016-10-19,6,34
2016-10-20,9,34
2016-10-21,6,29
2016-10-22,0,4
2016-10-23,0,1
2016-10-24,3,33
2016-10-25,3,41
2016-10-26,4,30
2016-10-27,8,30
2016-10-28,3,24
2016-10-29,0,1
2016-10-30,1,3
2016-10-31,6,49
2016-11-01,5,39
2016-11-02,8,43
2016-11-03,7,24
2016-11-04,6,21
2016-11-05,1,4
2016-11-06,1,1
2016-11-07,9,34
2016-11-08,8,36
2016-11-09,9,25
2016-11-10,1,27
2016-11-11,5,30
2016-11-12,1,2
2016-11-13,0,1
2016-11-14,5,42
2016-11-15,3,40
2016-11-16,5,35
2016-11-17,5,31
2016-11-18,4,32
2016-11-19,0,2
2016-11-20,1,3
2016-11-21,6,34
2016-11-22,4,36
2016-11-23,8,37
2016-11-24,5,35
2016-11-25,2,30
2016-11-26,0,2
2016-11-27,0,0
2016-11-28,4,43
2016-11-29,3,39
2016-11-30,3,39
2016-12-01,7,34
2016-12-02,4,24
2016-12-03,1,1
2016-12-04,0,1
2016-12-05,7,38
2016-12-06,6,48
2016-12-07,8,37
2016-12-08,4,35
2016-12-09,5,25
2016-12-10,0,0
2016-12-11,0,1
2016-12-12,6,45
2016-12-13,6,45
2016-12-14,3,23
2016-12-15,4,32
2016-12-16,3,25
2016-12-17,0,3
2016-12-18,0,0
2016-12-19,4,47
2016-12-20,6,43
2016-12-21,4,35
2016-12-22,6,39
2016-12-23,5,19
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,2
2016-12-27,0,0
2016-12-28,1,30
2016-12-29,5,35
2016-12-30,7,31
2016-12-31,1,1
2017-01-01,11,33
2017-01-02,0,0
2017-01-03,3,45
2017-01-04,7,44
2017-01-05,5,35
2017-01-06,5,31
2017-01-07,2,3
2017-01-08,0,0
2017-01-09,5,49
2017-01-10,4,40
2017-01-11,4,33
2017-01-12,4,36
2017-01-13,1,20
2017-01-14,1,2
2017-01-15,0,1
2017-01-16,5,58
2017-01-17,5,40
2017-01-18,5,43
2017-01-19,5,35
2017-01-20,3,21
2017-01-21,1,2
2017-01-22,0,1
2017-01-23,4,43
2017-01-24,1,34
2017-01-25,4,34
2017-01-26,3,31
2017-01-27,4,20
2017-01-28,0,2
2017-01-29,0,0
2017-01-30,5,38
2017-01-31,1,21
2017-02-01,6,39
2017-02-02,5,37
2017-02-03,6,28
2017-02-04,0,0
2017-02-05,0,2
2017-02-06,4,44
2017-02-07,5,51
2017-02-08,4,42
2017-02-09,3,23
2017-02-10,4,29
2017-02-11,0,2
2017-02-12,0,0
2017-02-13,6,38
2017-02-14,6,42
2017-02-15,3,20
2017-02-16,4,31
2017-02-17,3,26
2017-02-18,0,2
2017-02-19,0,1
2017-02-20,2,42
2017-02-21,5,43
2017-02-22,3,30
2017-02-23,4,25
2017-02-24,2,15
2017-02-25,0,2
2017-02-26,0,2
2017-02-27,8,40
2017-02-28,4,37
2017-03-01,11,37
2017-03-02,2,23
2017-03-03,4,15
2017-03-04,1,1
2017-03-05,1,2
2017-03-06,6,39
2017-03-07,7,45
2017-03-08,3,37
2017-03-09,5,31
2017-03-10,4,22
2017-03-11,1,2
2017-03-12,0,0
2017-03-13,3,33
2017-03-14,8,33
2017-03-15,5,42
2017-03-16,7,30
2017-03-17,8,29
2017-03-18,1,2
2017-03-19,0,1
2017-03-20,7,50
2017-03-21,7,30
2017-03-22,5,29
2017-03-23,4,30
2017-03-24,2,22
2017-03-25,2,5
2017-03-26,0,0
2017-03-27,1,26
2017-03-28,2,32
2017-03-29,6,33
2017-03-30,9,32
2017-03-31,4,21
2017-04-01,0,5
2017-04-02,1,1
2017-04-03,4,31
2017-04-04,6,36
2017-04-05,4,35
2017-04-06,4,33
2017-04-07,4,26
2017-04-08,0,0
2017-04-09,1,1
2017-04-10,3,30
2017-04-11,5,35
2017-04-12,6,31
2017-04-13,3,30
2017-04-14,0,1
2017-04-15,0,0
2017-04-16,0,1
2017-04-17,0,0
2017-04-18,2,34
2017-04-19,5,34
2017-04-20,8,25
2017-04-21,6,25
2017-04-22,0,1
2017-04-23,0,0
2017-04-24,9,31
2017-04-25,6,45
2017-04-26,4,30
2017-04-27,7,32
2017-04-28,7,21
2017-04-29,0,2
2017-04-30,0,1
2017-05-01,2,3
2017-05-02,10,37
2017-05-03,10,35
2017-05-04,4,40
2017-05-05,3,24
2017-05-06,0,1
2017-05-07,0,0
2017-05-08,6,33
2017-05-09,7,40
2017-05-10,9,37
2017-05-11,6,30
2017-05-12,5,22
2017-05-13,0,0
2017-05-14,0,0
2017-05-15,4,28
2017-05-16,3,36
2017-05-17,3,22
2017-05-18,5,26
2017-05-19,0,11
2017-05-20,0,1
2017-05-21,0,0
2017-05-22,3,34
2017-05-23,3,31
2017-05-24,4,25
2017-05-25,8,33
2017-05-26,4,30
2017-05-27,0,0
2017-05-28,0,0
2017-05-29,0,0
2017-05-30,5,44
2017-05-31,1,32
2017-06-01,4,31
2017-06-02,2,16
2017-06-03,1,1
2017-06-04,0,1
2017-06-05,7,32
2017-06-06,9,38
2017-06-07,4,39
2017-06-08,2,25
2017-06-09,3,20
2017-06-10,0,1
2017-06-11,0,1
2017-06-12,4,30
2017-06-13,1,20
2017-06-14,2,38
2017-06-15,5,21
2017-06-16,4,21
2017-06-17,0,1
2017-06-18,0,1
2017-06-19,3,32
2017-06-20,4,27
2017-06-21,5,25
2017-06-22,4,25
2017-06-23,9,24
2017-06-24,0,0
2017-06-25,0,1
2017-06-26,2,36
2017-06-27,5,38
2017-06-28,3,21
2017-06-29,2,25
2017-06-30,7,23
2017-07-01,2,4
2017-07-02,0,2
2017-07-03,4,31
2017-07-04,3,28
2017-07-05,3,27
2017-07-06,5,33
2017-07-07,3,24
2017-07-08,1,3
2017-07-09,0,0
2017-07-10,4,38
2017-07-11,3,23
2017-07-12,4,23
2017-07-13,4,24
2017-07-14,5,25
2017-07-15,0,1
2017-07-16,0,0
2017-07-17,2,49
2017-07-18,4,36
2017-07-19,4,18
2017-07-20,6,30
2017-07-21,4,19
2017-07-22,0,1
2017-07-23,0,1
2017-07-24,7,30
2017-07-25,6,37
2017-07-26,5,35
2017-07-27,2,20
2017-07-28,1,27
2017-07-29,0,1
2017-07-30,1,2
2017-07-31,6,46
2017-08-01,15,44
2017-08-02,3,19
2017-08-03,5,36
2017-08-04,1,19
2017-08-05,0,1
2017-08-06,1,2
2017-08-07,6,40
2017-08-08,6,43
2017-08-09,5,25
2017-08-10,4,20
2017-08-11,7,29
2017-08-12,0,0
2017-08-13,0,0
2017-08-14,1,30
2017-08-15,1,25
2017-08-16,0,18
2017-08-17,5,36
2017-08-18,5,24
2017-08-19,1,1
2017-08-20,1,1
2017-08-21,5,25
2017-08-22,5,35
2017-08-23,4,26
2017-08-24,4,30
2017-08-25,1,15
2017-08-26,0,1
2017-08-27,0,0
2017-08-28,0,0
2017-08-29,2,29
2017-08-30,11,38
2017-08-31,7,37
2017-09-01,6,34
2017-09-02,0,2
2017-09-03,1,1
2017-09-04,5,38
2017-09-05,3,36
2017-09-06,5,27
2017-09-07,7,32
2017-09-08,6,25
2017-09-09,0,1
2017-09-10,0,3
2017-09-11,6,38
2017-09-12,2,34
2017-09-13,5,33
2017-09-14,5,28
2017-09-15,4,31
2017-09-16,0,2
2017-09-17,2,7
2017-09-18,7,37
2017-09-19,5,36
2017-09-20,6,35
2017-09-21,6,47
2017-09-22,6,28
2017-09-23,0,0
2017-09-24,0,4
2017-09-25,4,52
2017-09-26,7,42
2017-09-27,6,35
2017-09-28,2,36
2017-09-29,4,31
2017-09-30,0,2
2017-10-01,0,1
2017-10-02,6,41
2017-10-03,6,46
2017-10-04,9,29
2017-10-05,3,39
2017-10-06,2,22
2017-10-07,0,1
2017-10-08,0,0
2017-10-09,5,42
2017-10-10,6,44
2017-10-11,8,31
2017-10-12,7,42
2017-10-13,5,23
2017-10-14,1,4
2017-10-15,0,2
2017-10-16,4,35
2017-10-17,8,47
2017-10-18,4,34
2017-10-19,1,41
2017-10-20,2,34
2017-10-21,0,0
2017-10-22,0,1
2017-10-23,4,47
2017-10-24,4,35
2017-10-25,4,24
2017-10-26,7,30
2017-10-27,4,29
2017-10-28,0,6
2017-10-29,1,1
2017-10-30,7,38
2017-10-31,5,36
2017-11-01,5,44
2017-11-02,4,44
2017-11-03,4,29
2017-11-04,0,1
2017-11-05,0,1
2017-11-06,6,38
2017-11-07,4,20
2017-11-08,7,38
2017-11-09,6,33
2017-11-10,5,27
2017-11-11,0,1
2017-11-12,1,1
2017-11-13,6,36
2017-11-14,7,45
2017-11-15,7,40
2017-11-16,2,34
2017-11-17,5,26
2017-11-18,0,1
2017-11-19,0,1
2017-11-20,5,42
2017-11-21,5,38
2017-11-22,3,45
2017-11-23,6,41
2017-11-24,8,26
2017-11-25,1,3
2017-11-26,0,4
2017-11-27,8,48
2017-11-28,5,48
2017-11-29,3,50
2017-11-30,2,44
2017-12-01,2,32
2017-12-02,0,3
2017-12-03,0,0
2017-12-04,5,46
2017-12-05,5,29
2017-12-06,7,30
2017-12-07,4,27
2017-12-08,2,24
2017-12-09,0,1
2017-12-10,0,0
2017-12-11,6,48
2017-12-12,7,29
2017-12-13,2,30
2017-12-14,5,42
2017-12-15,6,19
2017-12-16,0,3
2017-12-17,0,1
2017-12-18,9,33
2017-12-19,9,35
2017-12-20,4,38
2017-12-21,5,37
2017-12-22,5,32
2017-12-23,1,3
2017-12-24,0,0
2017-12-25,0,2
2017-12-26,0,1
2017-12-27,1,27
2017-12-28,2,43
2017-12-29,1,16
2017-12-30,0,1
2017-12-31,0,2
2018-01-01,4,9
2018-01-02,7,41
2018-01-03,4,32
2018-01-04,3,34
2018-01-05,5,35
2018-01-06,0,1
2018-01-07,1,2
2018-01-08,0,43
2018-01-09,4,43
2018-01-10,6,30
2018-01-11,3,36
2018-01-12,4,18
2018-01-13,0,2
2018-01-14,0,0
2018-01-15,3,44
2018-01-16,7,34
2018-01-17,6,25
2018-01-18,5,28
2018-01-19,6,29
2018-01-20,0,2
2018-01-21,0,0
2018-01-22,5,48
2018-01-23,9,36
2018-01-24,3,37
2018-01-25,3,22
2018-01-26,5,26
2018-01-27,1,2
2018-01-28,0,2
2018-01-29,4,41
2018-01-30,5,26
2018-01-31,3,25
2018-02-01,7,37
2018-02-02,2,25
2018-02-03,0,2
2018-02-04,0,1
2018-02-05,7,37
2018-02-06,6,39
2018-02-07,4,33
2018-02-08,7,37
2018-02-09,0,12
2018-02-10,0,1
2018-02-11,2,6
2018-02-12,6,44
2018-02-13,4,27
2018-02-14,5,29
2018-02-15,4,41
2018-02-16,7,17
2018-02-17,0,0
2018-02-18,0,0
2018-02-19,3,29
2018-02-20,5,24
2018-02-21,6,31
2018-02-22,4,23
2018-02-23,4,21
2018-02-24,2,3
2018-02-25,0,0
2018-02-26,7,29
2018-02-27,4,27
2018-02-28,2,39
2018-03-01,2,20
2018-03-02,3,16
2018-03-03,0,3
2018-03-04,2,3
2018-03-05,5,29
2018-03-06,5,24
2018-03-07,3,19
2018-03-08,4,31
2018-03-09,5,20
2018-03-10,0,0
2018-03-11,0,0
2018-03-12,7,43
2018-03-13,6,50
2018-03-14,2,24
2018-03-15,12,28
2018-03-16,2,30
2018-03-17,0,1
2018-03-18,1,1
2018-03-19,1,42
2018-03-20,7,26
2018-03-21,3,27
2018-03-22,5,26
2018-03-23,2,29
2018-03-24,0,0
2018-03-25,0,1
2018-03-26,4,73
2018-03-27,6,37
2018-03-28,7,35
2018-03-29,7,60
2018-03-30,0,0
2018-03-31,1,4
2018-04-01,0,2
2018-04-02,0,1
2018-04-03,5,29
2018-04-04,1,34
2018-04-05,5,41
2018-04-06,1,20
2018-04-07,0,2
2018-04-08,0,2
2018-04-09,5,31
2018-04-10,2,60
2018-04-11,5,19
2018-04-12,5,25
2018-04-13,3,32
2018-04-14,0,1
2018-04-15,0,0
2018-04-16,5,37
2018-04-17,5,21
2018-04-18,3,24
2018-04-19,5,32
2018-04-20,1,16
2018-04-21,1,1
2018-04-22,0,1
2018-04-23,2,25
2018-04-24,2,24
2018-04-25,8,24
2018-04-26,3,32
2018-04-27,3,27
2018-04-28,0,0
2018-04-29,0,0
2018-04-30,8,36
2018-05-01,7,42
2018-05-02,8,41
2018-05-03,5,24
2018-05-04,4,20
2018-05-05,0,0
2018-05-06,0,0
2018-05-07,0,1
2018-05-08,3,26
2018-05-09,7,31
2018-05-10,6,24
2018-05-11,3,23
2018-05-12,0,2
2018-05-13,1,2
2018-05-14,9,41
2018-05-15,6,48
2018-05-16,4,41
2018-05-17,5,30
2018-05-18,4,34
2018-05-19,0,0
2018-05-20,0,2
2018-05-21,3,27
2018-05-22,5,18
2018-05-23,6,87
2018-05-24,7,34
2018-05-25,0,8
2018-05-26,1,2
2018-05-27,0,0
2018-05-28,0,0
2018-05-29,9,21
2018-05-30,5,26
2018-05-31,5,42
2018-06-01,6,30
2018-06-02,1,1
2018-06-03,0,1
2018-06-04,4,43
2018-06-05,6,36
2018-06-06,3,28
2018-06-07,7,30
2018-06-08,4,24
2018-06-09,0,1
2018-06-10,0,0
2018-06-11,2,29
2018-06-12,9,44
2018-06-13,7,35
2018-06-14,5,146
2018-06-15,5,22
2018-06-16,0,1
2018-06-17,0,0
2018-06-18,11,40
2018-06-19,1,24
2018-06-20,5,22
